clip,frame,confidence,target_orig_cx,target_orig_cy,best_rank,best_dist_orig_px,hit_top20,hit_top50,hit_top80,hit_top120,hit_top200,hit_top500
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,594,medium_high,160.0,192.0,105,4.472,0,0,0,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,595,medium_high,162.0,190.0,78,6.0,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,596,medium_high,154.0,192.0,133,2.236,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,597,medium_high,158.0,192.0,201,3.606,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,598,medium_high,160.0,192.0,146,5.385,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,599,medium_high,154.0,192.0,141,2.0,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,600,medium_high,154.0,190.0,99,0.0,0,0,0,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,601,medium_high,156.0,192.0,168,3.606,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,602,medium_high,156.0,190.0,183,4.0,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,603,medium_high,165.0,189.0,59,4.472,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,604,medium_high,149.0,197.0,273,2.236,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,605,medium_high,156.0,190.0,134,5.0,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,622,medium_high,146.0,184.0,300,1.414,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,623,medium_high,146.0,182.0,296,1.414,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,624,medium_high,144.0,184.0,258,2.236,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,625,medium_high,131.0,191.0,76,3.606,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,626,medium_high,141.0,189.0,353,4.243,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,627,medium_high,150.0,184.0,15,5.099,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,628,medium_high,152.0,184.0,29,3.162,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,629,medium_high,141.0,189.0,217,7.28,0,0,0,0,0,0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,630,medium_high,146.0,182.0,217,3.0,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,631,medium_high,146.0,184.0,243,4.472,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,632,medium_high,148.0,184.0,35,5.099,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,633,medium_high,150.0,184.0,21,3.162,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,634,medium_high,144.0,186.0,196,4.472,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,635,medium_high,127.0,197.0,73,5.0,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,636,medium_high,144.0,186.0,230,5.385,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,637,medium_high,142.0,186.0,217,4.123,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,638,medium_high,142.0,186.0,238,4.123,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,639,medium_high,136.0,190.0,290,5.099,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,640,medium_high,123.0,197.0,79,4.123,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,641,medium_high,140.0,188.0,264,3.606,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,642,medium_high,138.0,190.0,295,3.606,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,643,medium_high,129.0,197.0,68,5.099,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,644,medium_high,138.0,190.0,235,4.123,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,645,medium_high,140.0,188.0,75,4.243,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,646,medium_high,132.0,192.0,278,3.0,0,0,0,0,0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,647,medium_high,130.0,194.0,182,3.162,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,648,medium_high,128.0,194.0,175,4.243,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,649,medium_high,128.0,194.0,131,2.236,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,650,high,128.0,194.0,134,2.236,0,0,0,0,1,1
