frame,temporal_neighbors,mean_temporal_inlier,native_count,clahe_count,temporal_count,temporal_combo_count,temporal_halo_count,combined_count
594,7.0,0.484,457,461,418,479,700,1077
595,7.0,0.558,458,463,408,467,700,1079
596,7.0,0.457,458,478,413,466,700,1080
597,7.0,0.515,462,488,413,475,700,1105
598,7.0,0.583,461,492,411,471,700,1085
599,7.0,0.492,475,493,411,463,700,1118
600,7.0,0.539,476,491,418,484,700,1137
601,7.0,0.494,463,480,417,457,700,1085
602,7.0,0.499,480,483,423,472,700,1103
603,7.0,0.572,478,483,416,469,700,1106
604,7.0,0.46,487,478,401,499,700,1135
605,7.0,0.544,488,474,404,468,700,1093
622,7.0,0.511,488,505,414,477,700,1105
623,7.0,0.608,485,502,399,466,700,1108
624,7.0,0.514,484,489,421,485,700,1077
625,7.0,0.597,481,486,419,473,700,1075
626,7.0,0.476,491,496,426,496,700,1117
627,7.0,0.483,496,487,404,484,700,1112
628,7.0,0.558,498,489,423,479,700,1104
629,7.0,0.473,498,486,436,473,700,1107
630,7.0,0.538,499,488,422,472,700,1097
631,7.0,0.464,481,492,427,486,700,1104
632,7.0,0.494,473,482,412,481,700,1089
633,7.0,0.573,473,481,418,468,700,1077
634,7.0,0.491,483,488,406,486,700,1065
635,7.0,0.562,481,486,419,479,700,1076
636,7.0,0.498,480,491,433,484,700,1088
637,7.0,0.501,488,494,416,488,700,1091
638,7.0,0.579,490,492,415,467,700,1077
639,7.0,0.492,478,479,411,476,700,1075
640,7.0,0.586,477,480,407,477,700,1074
641,7.0,0.507,465,482,425,480,700,1089
642,7.0,0.515,474,476,421,477,700,1094
643,7.0,0.605,475,476,433,481,700,1078
644,7.0,0.528,478,480,423,497,700,1096
645,7.0,0.615,478,477,408,476,700,1079
646,7.0,0.535,472,474,406,479,700,1084
647,7.0,0.506,481,484,415,489,700,1105
648,7.0,0.599,481,484,416,473,700,1095
649,7.0,0.507,476,487,416,481,700,1099
650,7.0,0.612,477,487,412,476,700,1066
651,7.0,0.582,476,478,424,479,700,1108
652,7.0,0.52,472,490,415,499,700,1097
653,7.0,0.602,471,494,429,465,700,1080
654,7.0,0.538,479,482,418,493,700,1090
655,7.0,0.606,478,481,423,473,700,1095
656,7.0,0.531,483,493,430,500,700,1117
657,7.0,0.54,483,470,425,495,700,1097
658,7.0,0.616,485,474,428,481,700,1095
659,7.0,0.575,487,484,409,472,700,1090
660,7.0,0.64,487,482,423,477,700,1074
661,7.0,0.591,486,483,419,467,700,1078
662,7.0,0.567,504,500,427,472,700,1102
663,7.0,0.64,503,496,420,475,700,1089
664,7.0,0.583,486,492,420,475,700,1097
665,7.0,0.668,485,488,413,479,700,1095
666,7.0,0.6,484,482,419,476,700,1089
667,7.0,0.609,489,485,424,498,700,1096
668,7.0,0.687,488,486,422,480,700,1085
669,7.0,0.643,485,490,420,474,700,1067
670,7.0,0.711,484,488,414,462,700,1081
671,7.0,0.613,486,496,412,495,700,1099
672,7.0,0.6,484,500,414,486,700,1079
673,7.0,0.664,486,500,427,479,700,1103
674,7.0,0.607,475,487,401,490,700,1085
675,7.0,0.674,475,487,402,476,700,1091
676,7.0,0.614,479,496,407,483,700,1107
677,7.0,0.612,483,485,415,462,700,1098
678,7.0,0.685,482,486,409,458,700,1096
679,7.0,0.603,490,490,425,492,700,1109
680,7.0,0.673,488,490,420,474,700,1096
681,7.0,0.611,497,491,408,488,700,1099
682,7.0,0.621,487,488,426,494,700,1116
683,7.0,0.682,487,484,421,487,700,1114
684,7.0,0.616,486,486,412,493,700,1127
685,7.0,0.679,487,489,420,483,700,1122
686,7.0,0.608,489,488,414,485,700,1115
687,7.0,0.63,489,494,413,489,700,1116
688,7.0,0.671,489,494,424,470,700,1102
689,7.0,0.614,483,491,418,497,700,1117
690,7.0,0.678,484,492,407,491,700,1106
691,7.0,0.616,489,488,422,512,700,1115
692,7.0,0.611,483,482,417,494,700,1112
693,7.0,0.663,483,480,414,494,700,1102
694,7.0,0.6,473,482,400,493,700,1094
695,7.0,0.675,479,484,407,473,700,1096
696,7.0,0.603,484,487,408,504,700,1087
697,7.0,0.622,485,484,418,505,700,1103
698,7.0,0.679,483,488,423,498,700,1089
