run,source,avg,r20,r50,r80,r120,r200,r500,high_r80
centeredwide,native_dark,481.8,0.0,0.0,0.0,0.0,0.0,0.236,0.0
centeredwide,clahe_dark,486.2,0.0,0.0,0.0,0.0,0.0,0.236,0.0
centeredwide,temporal_dark,424.3,0.191,0.258,0.337,0.438,0.562,0.775,0.408
centeredwide,temporal_combo,482.2,0.146,0.236,0.326,0.393,0.461,0.742,0.449
centeredwide,temporal_halo,700.0,0.18,0.258,0.303,0.348,0.472,0.652,0.184
centeredwide,combined,1106.8,0.169,0.27,0.326,0.36,0.472,0.618,0.224
default,native_dark,419.8,0.0,0.0,0.0,0.0,0.0,0.236,0.0
default,clahe_dark,425.4,0.0,0.0,0.0,0.0,0.0,0.236,0.0
default,temporal_dark,323.8,0.157,0.281,0.36,0.483,0.652,0.719,0.408
default,temporal_combo,413.7,0.112,0.303,0.371,0.438,0.506,0.697,0.449
default,temporal_halo,500.0,0.146,0.236,0.247,0.348,0.438,0.742,0.122
default,combined,800.0,0.157,0.247,0.303,0.326,0.438,0.753,0.143
pastwide,native_dark,481.8,0.0,0.0,0.0,0.0,0.0,0.236,0.0
pastwide,clahe_dark,486.2,0.0,0.0,0.0,0.0,0.0,0.236,0.0
pastwide,temporal_dark,416.7,0.258,0.416,0.539,0.573,0.73,0.91,0.755
pastwide,temporal_combo,481.0,0.135,0.348,0.438,0.494,0.551,0.787,0.714
pastwide,temporal_halo,700.0,0.135,0.258,0.337,0.404,0.517,0.82,0.143
pastwide,combined,1095.8,0.079,0.225,0.281,0.393,0.539,0.775,0.184
recenter2,native_dark,473.5,0.0,0.0,0.0,0.0,0.0,0.213,0.0
recenter2,clahe_dark,481.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0
recenter2,temporal_dark,412.9,0.079,0.09,0.169,0.247,0.427,0.483,0.061
recenter2,temporal_combo,456.5,0.022,0.067,0.146,0.191,0.27,0.449,0.061
recenter2,temporal_halo,700.0,0.146,0.225,0.281,0.303,0.404,0.64,0.143
recenter2,combined,1070.0,0.112,0.225,0.292,0.348,0.427,0.663,0.184
smallr,native_dark,681.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smallr,clahe_dark,677.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smallr,temporal_dark,464.7,0.157,0.213,0.281,0.371,0.528,0.831,0.306
smallr,temporal_combo,597.7,0.067,0.124,0.157,0.213,0.258,0.551,0.265
smallr,temporal_halo,800.0,0.213,0.281,0.36,0.393,0.427,0.607,0.184
smallr,combined,1400.0,0.157,0.225,0.281,0.303,0.337,0.573,0.163
