selector,frames,strict_hit,strict_recall,loose_hit,loose_recall,max_jump_px,transition_weight
viterbi_jump10_w0.75,699,547,0.7825,648,0.927,10.0,0.75
viterbi_jump10_w1,699,542,0.7754,652,0.9328,10.0,1.0
viterbi_jump8_w0.5,699,540,0.7725,600,0.8584,8.0,0.5
viterbi_jump10_w0.1,699,539,0.7711,651,0.9313,10.0,0.1
viterbi_jump8_w0.1,699,534,0.7639,603,0.8627,8.0,0.1
viterbi_jump8_w0.05,699,531,0.7597,603,0.8627,8.0,0.05
viterbi_jump10_w0.2,699,530,0.7582,651,0.9313,10.0,0.2
viterbi_jump16_w2,699,527,0.7539,622,0.8898,16.0,2.0
viterbi_jump24_w1,699,527,0.7539,619,0.8856,24.0,1.0
viterbi_jump10_w2,699,526,0.7525,629,0.8999,10.0,2.0
viterbi_jump12_w1.5,699,525,0.7511,632,0.9041,12.0,1.5
viterbi_jump12_w2,699,525,0.7511,632,0.9041,12.0,2.0
viterbi_jump12_w1,699,524,0.7496,622,0.8898,12.0,1.0
viterbi_jump10_w1.5,699,523,0.7482,628,0.8984,10.0,1.5
viterbi_jump10_w0.05,699,522,0.7468,651,0.9313,10.0,0.05
viterbi_jump10_w0.35,699,522,0.7468,651,0.9313,10.0,0.35
viterbi_jump16_w0.35,699,522,0.7468,632,0.9041,16.0,0.35
viterbi_jump24_w0.75,699,522,0.7468,619,0.8856,24.0,0.75
viterbi_jump16_w0.2,699,520,0.7439,632,0.9041,16.0,0.2
viterbi_jump24_w0.5,699,520,0.7439,623,0.8913,24.0,0.5
viterbi_jump20_w0.35,699,520,0.7439,618,0.8841,20.0,0.35
viterbi_jump20_w0.5,699,520,0.7439,618,0.8841,20.0,0.5
viterbi_jump32_w1.5,699,520,0.7439,616,0.8813,32.0,1.5
viterbi_jump8_w2,699,520,0.7439,580,0.8298,8.0,2.0
viterbi_jump10_w0.5,699,518,0.7411,647,0.9256,10.0,0.5
viterbi_jump32_w0.75,699,518,0.7411,615,0.8798,32.0,0.75
viterbi_jump32_w1,699,518,0.7411,615,0.8798,32.0,1.0
viterbi_jump20_w1,699,517,0.7396,633,0.9056,20.0,1.0
viterbi_jump12_w0.2,699,517,0.7396,625,0.8941,12.0,0.2
viterbi_jump8_w0.2,699,515,0.7368,602,0.8612,8.0,0.2
viterbi_jump8_w0.35,699,515,0.7368,599,0.8569,8.0,0.35
viterbi_jump8_w1.5,699,514,0.7353,580,0.8298,8.0,1.5
viterbi_jump4_w0.5,699,514,0.7353,562,0.804,4.0,0.5
viterbi_jump32_w2,699,513,0.7339,631,0.9027,32.0,2.0
viterbi_jump16_w0.5,699,512,0.7325,632,0.9041,16.0,0.5
viterbi_jump20_w0.75,699,512,0.7325,619,0.8856,20.0,0.75
viterbi_jump12_w0.35,699,511,0.731,625,0.8941,12.0,0.35
viterbi_jump8_w0.75,699,511,0.731,580,0.8298,8.0,0.75
viterbi_jump8_w1,699,511,0.731,580,0.8298,8.0,1.0
viterbi_jump12_w0.1,699,508,0.7268,624,0.8927,12.0,0.1
viterbi_jump24_w0.35,699,508,0.7268,623,0.8913,24.0,0.35
viterbi_jump20_w0.2,699,508,0.7268,619,0.8856,20.0,0.2
viterbi_jump4_w0.35,699,508,0.7268,562,0.804,4.0,0.35
viterbi_jump24_w1.5,699,507,0.7253,633,0.9056,24.0,1.5
viterbi_jump16_w0.1,699,507,0.7253,632,0.9041,16.0,0.1
viterbi_jump32_w0.5,699,507,0.7253,615,0.8798,32.0,0.5
viterbi_jump24_w2,699,505,0.7225,633,0.9056,24.0,2.0
viterbi_jump20_w1.5,699,505,0.7225,623,0.8913,20.0,1.5
viterbi_jump16_w0.75,699,502,0.7182,630,0.9013,16.0,0.75
viterbi_jump12_w0.5,699,502,0.7182,625,0.8941,12.0,0.5
viterbi_jump16_w1,699,502,0.7182,620,0.887,16.0,1.0
viterbi_jump16_w1.5,699,502,0.7182,620,0.887,16.0,1.5
viterbi_jump24_w0.2,699,501,0.7167,623,0.8913,24.0,0.2
viterbi_jump4_w0.2,699,501,0.7167,562,0.804,4.0,0.2
viterbi_jump24_w0.1,699,500,0.7153,623,0.8913,24.0,0.1
viterbi_jump20_w2,699,500,0.7153,618,0.8841,20.0,2.0
viterbi_jump32_w0.35,699,500,0.7153,616,0.8813,32.0,0.35
viterbi_jump4_w0.75,699,500,0.7153,554,0.7926,4.0,0.75
viterbi_jump4_w1,699,500,0.7153,554,0.7926,4.0,1.0
viterbi_jump4_w1.5,699,500,0.7153,554,0.7926,4.0,1.5
viterbi_jump4_w2,699,500,0.7153,554,0.7926,4.0,2.0
viterbi_jump24_w0.05,699,499,0.7139,623,0.8913,24.0,0.05
viterbi_jump16_w0.05,699,498,0.7124,631,0.9027,16.0,0.05
viterbi_jump20_w0.1,699,498,0.7124,619,0.8856,20.0,0.1
viterbi_jump20_w0.05,699,498,0.7124,618,0.8841,20.0,0.05
viterbi_jump32_w0.2,699,497,0.711,615,0.8798,32.0,0.2
viterbi_jump6_w1.5,699,497,0.711,549,0.7854,6.0,1.5
viterbi_jump6_w2,699,497,0.711,549,0.7854,6.0,2.0
viterbi_jump12_w0.75,699,496,0.7096,621,0.8884,12.0,0.75
viterbi_jump12_w0.05,699,494,0.7067,625,0.8941,12.0,0.05
viterbi_jump32_w0.1,699,492,0.7039,605,0.8655,32.0,0.1
viterbi_jump6_w0.75,699,492,0.7039,549,0.7854,6.0,0.75
viterbi_jump6_w1,699,492,0.7039,549,0.7854,6.0,1.0
viterbi_jump6_w0.35,699,487,0.6967,547,0.7825,6.0,0.35
viterbi_jump32_w0.05,699,485,0.6938,612,0.8755,32.0,0.05
viterbi_jump6_w0.5,699,485,0.6938,547,0.7825,6.0,0.5
viterbi_jump6_w0.05,699,481,0.6881,546,0.7811,6.0,0.05
viterbi_jump4_w0.1,699,477,0.6824,557,0.7969,4.0,0.1
viterbi_jump4_w0.05,699,468,0.6695,557,0.7969,4.0,0.05
viterbi_jump6_w0.1,699,463,0.6624,546,0.7811,6.0,0.1
