selector,frames,strict_hit,strict_recall,loose_hit,loose_recall,max_jump_px,transition_weight
viterbi_jump4_w0.75,699,561,0.8026,657,0.9399,4.0,0.75
viterbi_jump4_w1,699,561,0.8026,657,0.9399,4.0,1.0
viterbi_jump4_w1.5,699,561,0.8026,657,0.9399,4.0,1.5
viterbi_jump4_w0.5,699,560,0.8011,657,0.9399,4.0,0.5
viterbi_jump4_w0.35,699,539,0.7711,657,0.9399,4.0,0.35
viterbi_jump4_w0.1,699,537,0.7682,654,0.9356,4.0,0.1
viterbi_jump4_w0.2,699,534,0.7639,657,0.9399,4.0,0.2
viterbi_jump10_w1.5,699,524,0.7496,633,0.9056,10.0,1.5
viterbi_jump10_w1,699,516,0.7382,631,0.9027,10.0,1.0
viterbi_jump10_w0.75,699,514,0.7353,627,0.897,10.0,0.75
viterbi_jump10_w0.35,699,510,0.7296,627,0.897,10.0,0.35
viterbi_jump12_w1.5,699,509,0.7282,634,0.907,12.0,1.5
viterbi_jump10_w0.5,699,509,0.7282,627,0.897,10.0,0.5
viterbi_jump12_w1,699,505,0.7225,630,0.9013,12.0,1.0
viterbi_jump12_w0.5,699,503,0.7196,630,0.9013,12.0,0.5
viterbi_jump12_w0.35,699,503,0.7196,627,0.897,12.0,0.35
viterbi_jump12_w0.75,699,502,0.7182,630,0.9013,12.0,0.75
viterbi_jump10_w0.2,699,502,0.7182,624,0.8927,10.0,0.2
viterbi_jump10_w0.1,699,501,0.7167,623,0.8913,10.0,0.1
viterbi_jump16_w1.5,699,500,0.7153,639,0.9142,16.0,1.5
viterbi_jump20_w1,699,495,0.7082,612,0.8755,20.0,1.0
viterbi_jump12_w0.2,699,494,0.7067,627,0.897,12.0,0.2
viterbi_jump20_w1.5,699,494,0.7067,622,0.8898,20.0,1.5
viterbi_jump12_w0.1,699,493,0.7053,622,0.8898,12.0,0.1
viterbi_jump16_w0.75,699,493,0.7053,612,0.8755,16.0,0.75
viterbi_jump16_w1,699,493,0.7053,612,0.8755,16.0,1.0
viterbi_jump8_w1,699,491,0.7024,612,0.8755,8.0,1.0
viterbi_jump20_w0.35,699,489,0.6996,611,0.8741,20.0,0.35
viterbi_jump20_w0.75,699,487,0.6967,611,0.8741,20.0,0.75
viterbi_jump20_w0.5,699,487,0.6967,609,0.8712,20.0,0.5
viterbi_jump20_w0.2,699,487,0.6967,587,0.8398,20.0,0.2
viterbi_jump8_w0.5,699,486,0.6953,611,0.8741,8.0,0.5
viterbi_jump8_w0.75,699,485,0.6938,612,0.8755,8.0,0.75
viterbi_jump16_w0.5,699,484,0.6924,599,0.8569,16.0,0.5
viterbi_jump16_w0.2,699,484,0.6924,598,0.8555,16.0,0.2
viterbi_jump16_w0.35,699,484,0.6924,598,0.8555,16.0,0.35
viterbi_jump16_w0.1,699,484,0.6924,597,0.8541,16.0,0.1
viterbi_jump20_w0.1,699,481,0.6881,587,0.8398,20.0,0.1
viterbi_jump8_w0.35,699,479,0.6853,607,0.8684,8.0,0.35
viterbi_jump8_w0.2,699,476,0.681,607,0.8684,8.0,0.2
viterbi_jump6_w0.5,699,475,0.6795,546,0.7811,6.0,0.5
viterbi_jump8_w0.1,699,469,0.671,604,0.8641,8.0,0.1
viterbi_jump6_w0.75,699,468,0.6695,546,0.7811,6.0,0.75
viterbi_jump6_w1,699,468,0.6695,546,0.7811,6.0,1.0
viterbi_jump6_w0.35,699,468,0.6695,543,0.7768,6.0,0.35
viterbi_jump6_w1.5,699,465,0.6652,544,0.7783,6.0,1.5
viterbi_jump8_w1.5,699,463,0.6624,585,0.8369,8.0,1.5
viterbi_jump6_w0.2,699,463,0.6624,539,0.7711,6.0,0.2
viterbi_jump6_w0.1,699,460,0.6581,539,0.7711,6.0,0.1
framewise_learned,699,452,0.6466,548,0.784,,
