selector,frames,strict_hit,strict_recall,loose_hit,loose_recall,max_jump_px,transition_weight,size_jump_weight
viterbi_jump4_w0.75_sz0,699,561,0.8026,657,0.9399,4.0,0.75,0.0
viterbi_jump4_w1_sz0,699,561,0.8026,657,0.9399,4.0,1.0,0.0
viterbi_jump4_w0.5_sz0,699,560,0.8011,657,0.9399,4.0,0.5,0.0
viterbi_jump4_w0.5_sz0.25,699,503,0.7196,595,0.8512,4.0,0.5,0.25
viterbi_jump4_w0.75_sz0.25,699,499,0.7139,593,0.8484,4.0,0.75,0.25
viterbi_jump4_w1_sz0.75,699,495,0.7082,648,0.927,4.0,1.0,0.75
viterbi_jump4_w0.75_sz0.5,699,495,0.7082,632,0.9041,4.0,0.75,0.5
viterbi_jump4_w1_sz0.5,699,495,0.7082,632,0.9041,4.0,1.0,0.5
viterbi_jump4_w0.5_sz0.5,699,491,0.7024,628,0.8984,4.0,0.5,0.5
viterbi_jump4_w0.5_sz0.75,699,486,0.6953,644,0.9213,4.0,0.5,0.75
viterbi_jump4_w0.75_sz0.75,699,483,0.691,644,0.9213,4.0,0.75,0.75
viterbi_jump4_w1_sz1,699,476,0.681,620,0.887,4.0,1.0,1.0
viterbi_jump4_w0.5_sz1,699,476,0.681,610,0.8727,4.0,0.5,1.0
viterbi_jump4_w0.75_sz1,699,474,0.6781,610,0.8727,4.0,0.75,1.0
viterbi_jump4_w1_sz0.25,699,469,0.671,565,0.8083,4.0,1.0,0.25
framewise_learned,699,452,0.6466,548,0.784,,,
