selector,frames,strict_hit,strict_recall,loose_hit,loose_recall,max_jump_px,transition_weight
viterbi_jump10_w0.75,699,524,0.7496,629,0.8999,10.0,0.75
viterbi_jump10_w1,699,524,0.7496,629,0.8999,10.0,1.0
viterbi_jump10_w1.5,699,522,0.7468,628,0.8984,10.0,1.5
viterbi_jump10_w0.1,699,520,0.7439,651,0.9313,10.0,0.1
viterbi_jump12_w1,699,520,0.7439,627,0.897,12.0,1.0
viterbi_jump12_w1.5,699,520,0.7439,627,0.897,12.0,1.5
viterbi_jump10_w0.35,699,519,0.7425,653,0.9342,10.0,0.35
viterbi_jump20_w0.2,699,515,0.7368,619,0.8856,20.0,0.2
viterbi_jump16_w0.1,699,514,0.7353,632,0.9041,16.0,0.1
viterbi_jump8_w1.5,699,514,0.7353,580,0.8298,8.0,1.5
viterbi_jump10_w0.5,699,513,0.7339,629,0.8999,10.0,0.5
viterbi_jump16_w1.5,699,513,0.7339,626,0.8956,16.0,1.5
viterbi_jump10_w0.2,699,511,0.731,651,0.9313,10.0,0.2
viterbi_jump20_w0.1,699,510,0.7296,619,0.8856,20.0,0.1
viterbi_jump8_w0.5,699,510,0.7296,580,0.8298,8.0,0.5
viterbi_jump12_w0.75,699,509,0.7282,627,0.897,12.0,0.75
viterbi_jump16_w0.35,699,508,0.7268,632,0.9041,16.0,0.35
viterbi_jump16_w1,699,508,0.7268,626,0.8956,16.0,1.0
viterbi_jump8_w1,699,507,0.7253,580,0.8298,8.0,1.0
viterbi_jump20_w0.5,699,506,0.7239,618,0.8841,20.0,0.5
viterbi_jump12_w0.2,699,503,0.7196,625,0.8941,12.0,0.2
viterbi_jump8_w0.75,699,503,0.7196,580,0.8298,8.0,0.75
viterbi_jump16_w0.2,699,501,0.7167,632,0.9041,16.0,0.2
viterbi_jump20_w1,699,501,0.7167,626,0.8956,20.0,1.0
viterbi_jump20_w0.35,699,501,0.7167,618,0.8841,20.0,0.35
viterbi_jump4_w0.2,699,501,0.7167,562,0.804,4.0,0.2
viterbi_jump20_w1.5,699,500,0.7153,629,0.8999,20.0,1.5
viterbi_jump4_w0.75,699,500,0.7153,554,0.7926,4.0,0.75
viterbi_jump4_w1,699,500,0.7153,554,0.7926,4.0,1.0
viterbi_jump4_w1.5,699,500,0.7153,554,0.7926,4.0,1.5
viterbi_jump8_w0.35,699,499,0.7139,580,0.8298,8.0,0.35
viterbi_jump16_w0.75,699,498,0.7124,624,0.8927,16.0,0.75
viterbi_jump12_w0.1,699,497,0.711,624,0.8927,12.0,0.1
viterbi_jump6_w1.5,699,497,0.711,549,0.7854,6.0,1.5
viterbi_jump12_w0.5,699,496,0.7096,627,0.897,12.0,0.5
viterbi_jump4_w0.35,699,495,0.7082,554,0.7926,4.0,0.35
viterbi_jump4_w0.5,699,495,0.7082,554,0.7926,4.0,0.5
viterbi_jump20_w0.75,699,494,0.7067,619,0.8856,20.0,0.75
viterbi_jump8_w0.1,699,494,0.7067,578,0.8269,8.0,0.1
viterbi_jump12_w0.35,699,493,0.7053,625,0.8941,12.0,0.35
viterbi_jump16_w0.5,699,492,0.7039,630,0.9013,16.0,0.5
viterbi_jump4_w0.1,699,492,0.7039,557,0.7969,4.0,0.1
viterbi_jump6_w0.75,699,492,0.7039,549,0.7854,6.0,0.75
viterbi_jump6_w1,699,492,0.7039,549,0.7854,6.0,1.0
viterbi_jump8_w0.2,699,485,0.6938,577,0.8255,8.0,0.2
viterbi_jump6_w0.5,699,485,0.6938,547,0.7825,6.0,0.5
viterbi_jump6_w0.35,699,484,0.6924,548,0.784,6.0,0.35
viterbi_jump6_w0.2,699,473,0.6767,548,0.784,6.0,0.2
framewise_learned,699,464,0.6638,592,0.8469,,
viterbi_jump6_w0.1,699,459,0.6567,546,0.7811,6.0,0.1
