frame,y,dist_px,rank,source,confidence
1,0,26.127,1,large_dark,high
1,0,33.898,3,large_dark,high
1,0,47.254,4,large_dark,high
1,0,66.649,6,large_dark,high
1,0,27.352,7,large_dark,high
1,0,52.925,8,large_dark,high
1,0,36.269,9,large_dark,high
1,0,68.646,10,large_dark,high
1,0,42.522,11,large_dark,high
1,0,42.071,12,large_dark,high
1,0,63.22,13,large_dark,high
1,0,79.112,14,large_dark,high
1,0,43.823,15,large_dark,high
1,0,56.946,16,large_dark,high
1,0,34.813,17,large_dark,high
1,1,3.607,18,large_dark,high
2,0,26.012,1,large_dark,high
2,0,49.207,2,large_dark,high
2,0,69.588,4,hybrid_coast,high
2,0,29.969,5,hybrid_coast,high
2,0,56.673,6,large_dark,high
2,0,82.44,7,hybrid_coast,high
2,0,58.349,8,hybrid_coast,high
2,0,36.733,10,appearance,high
2,0,33.698,11,large_dark,high
2,0,26.778,12,appearance,high
2,0,66.215,13,large_dark,high
2,0,35.955,14,large_dark,high
2,0,45.02,15,large_dark,high
2,0,62.778,16,large_dark,high
2,0,45.319,17,large_dark,high
2,0,64.032,18,large_dark,high
2,0,53.36,19,large_dark,high
2,0,44.322,20,large_dark,high
2,0,74.319,21,large_dark,high
2,0,56.303,22,large_dark,high
2,0,38.254,24,large_dark,high
2,0,78.91,25,large_dark,high
2,0,35.115,26,large_dark,high
2,1,5.219,27,large_dark,high
3,0,25.681,1,large_dark,high
3,0,49.339,2,large_dark,high
3,0,49.376,4,large_dark,high
3,0,33.236,5,large_dark,high
3,0,51.947,6,large_dark,high
3,0,69.276,7,hybrid_coast,high
3,0,40.085,8,hybrid_coast,high
3,0,57.116,9,large_dark,high
3,0,65.614,10,large_dark,high
3,0,29.753,11,hybrid_coast,high
3,0,81.852,13,hybrid_coast,high
3,0,32.528,14,hybrid_coast,high
3,0,64.417,15,hybrid_coast,high
3,0,35.182,16,hybrid_coast,high
3,0,37.777,17,hybrid_coast,high
3,0,34.279,18,large_dark,high
3,0,83.243,19,hybrid_coast,high
3,0,58.776,20,hybrid_coast,high
3,0,36.283,21,appearance,high
3,0,28.647,22,appearance,high
3,0,65.783,23,large_dark,high
3,0,89.242,24,hybrid_coast,high
3,0,37.052,25,large_dark,high
3,0,86.864,26,hybrid_coast,high
3,0,62.343,27,large_dark,high
3,0,46.435,29,large_dark,high
3,0,56.603,30,large_dark,high
3,0,63.799,31,large_dark,high
3,0,53.787,32,large_dark,high
3,0,42.922,33,large_dark,high
3,0,42.674,34,large_dark,high
3,0,74.153,35,large_dark,high
3,0,39.53,36,large_dark,high
3,0,73.148,37,large_dark,high
3,0,78.705,38,large_dark,high
3,1,4.811,39,large_dark,high
3,0,35.41,40,large_dark,high
4,0,25.357,1,large_dark,high
4,0,49.073,2,large_dark,high
4,0,33.689,4,large_dark,high
4,0,63.487,6,large_dark,high
4,0,42.251,7,hybrid_coast,high
4,0,68.969,8,hybrid_coast,high
4,0,34.565,9,hybrid_coast,high
4,0,31.723,10,hybrid_coast,high
4,0,38.392,11,hybrid_coast,high
4,0,34.17,12,large_dark,high
4,0,45.162,13,hybrid_coast,high
4,0,57.562,14,large_dark,high
4,0,65.35,15,large_dark,high
4,0,37.288,16,large_dark,high
4,0,28.865,17,appearance,high
4,0,61.901,18,large_dark,high
4,0,81.702,19,hybrid_coast,high
4,0,64.853,20,hybrid_coast,high
4,0,34.537,21,hybrid_coast,high
4,0,37.317,22,hybrid_coast,high
4,0,49.835,23,large_dark,high
4,0,84.062,24,hybrid_coast,high
4,0,59.211,25,hybrid_coast,high
4,0,89.062,26,hybrid_coast,high
4,0,86.693,27,hybrid_coast,high
4,0,56.901,28,large_dark,high
4,0,52.4,30,large_dark,high
4,0,42.471,31,large_dark,high
4,0,47.852,32,large_dark,high
4,0,42.986,33,large_dark,high
4,0,39.683,34,hybrid_coast,high
4,0,59.758,35,hybrid_coast,high
4,0,63.575,36,large_dark,high
4,0,56.658,37,hybrid_coast,high
4,1,4.401,38,large_dark,high
4,0,40.882,39,hybrid_coast,high
4,0,72.945,40,large_dark,high
4,0,73.996,41,large_dark,high
4,0,37.486,42,hybrid_coast,high
4,0,37.075,43,hybrid_coast,high
5,0,25.034,1,large_dark,high
5,0,51.483,2,large_dark,high
5,0,54.477,4,large_dark,high
5,0,36.312,5,large_dark,high
5,0,29.957,7,appearance,high
5,0,41.572,8,hybrid_coast,high
5,0,64.935,9,hybrid_coast,high
5,0,36.969,10,large_dark,high
5,0,37.686,11,hybrid_coast,high
5,0,40.856,12,hybrid_coast,high
5,0,56.806,13,large_dark,high
5,0,64.918,14,large_dark,high
5,0,70.269,15,hybrid_coast,high
5,0,48.389,16,large_dark,high
5,0,45.478,17,hybrid_coast,high
5,0,39.303,18,large_dark,high
5,0,34.907,19,appearance,high
5,0,67.417,20,appearance,high
5,0,48.417,21,hybrid_coast,high
5,0,31.91,22,hybrid_coast,high
5,0,61.467,23,large_dark,high
5,0,34.059,24,large_dark,high
5,0,40.57,25,hybrid_coast,high
5,0,57.205,26,large_dark,high
5,0,81.547,27,hybrid_coast,high
5,0,65.282,28,hybrid_coast,high
5,0,88.878,30,hybrid_coast,high
5,0,28.111,31,hybrid_coast,high
5,0,86.517,32,hybrid_coast,high
5,0,46.688,33,large_dark,high
5,1,4.002,34,large_dark,high
5,0,42.023,35,large_dark,high
5,0,52.85,36,large_dark,high
5,0,70.791,37,large_dark,high
5,0,43.687,38,hybrid_coast,high
5,0,38.688,39,hybrid_coast,high
5,0,60.21,40,hybrid_coast,high
5,0,57.093,41,hybrid_coast,high
5,0,40.445,42,hybrid_coast,high
5,0,35.769,43,hybrid_coast,high
6,0,24.718,1,large_dark,high
6,0,51.231,2,large_dark,high
6,0,54.935,4,large_dark,high
6,0,34.239,5,hybrid_coast,high
6,0,27.959,7,hybrid_coast,high
6,0,26.239,8,hybrid_coast,high
6,0,36.887,9,large_dark,high
6,0,30.114,10,hybrid_coast,high
6,0,64.486,11,large_dark,high
6,0,40.314,12,hybrid_coast,high
6,0,44.847,13,hybrid_coast,high
6,0,40.92,14,hybrid_coast,high
6,0,39.556,15,large_dark,high
6,0,67.148,16,appearance,high
6,0,25.29,17,hybrid_coast,high
6,0,37.009,18,hybrid_coast,high
6,0,31.965,19,hybrid_coast,high
6,0,65.097,20,hybrid_coast,high
6,0,61.026,21,large_dark,high
6,0,70.328,22,hybrid_coast,high
6,0,34.454,23,appearance,high
6,0,49.772,24,hybrid_coast,high
6,0,36.767,25,large_dark,high
6,0,57.508,26,large_dark,high
6,0,33.961,27,large_dark,high
6,0,40.109,28,hybrid_coast,high
6,1,3.617,29,large_dark,high
6,0,47.015,31,large_dark,high
6,0,70.586,32,large_dark,high
6,0,41.571,33,large_dark,high
6,0,56.655,35,large_dark,high
6,0,30.505,36,hybrid_coast,high
6,0,48.815,37,large_dark,high
6,0,53.303,38,large_dark,high
6,0,43.613,39,hybrid_coast,high
6,0,37.731,40,hybrid_coast,high
6,0,60.667,41,hybrid_coast,high
6,0,57.531,42,hybrid_coast,high
6,0,40.126,43,hybrid_coast,high
6,0,34.168,44,hybrid_coast,high
7,0,24.736,1,large_dark,high
7,0,54.17,2,hybrid_coast,high
7,0,40.739,4,hybrid_coast,high
7,0,34.139,5,hybrid_coast,high
7,0,60.394,6,large_dark,high
7,0,32.896,8,hybrid_coast,high
7,0,56.791,9,large_dark,high
7,0,27.736,10,hybrid_coast,high
7,0,31.317,11,appearance,high
7,0,45.924,12,large_dark,high
7,0,25.246,13,hybrid_coast,high
7,0,32.259,14,hybrid_coast,high
7,0,38.385,15,large_dark,high
7,0,28.915,16,hybrid_coast,high
7,0,24.409,17,hybrid_coast,high
7,0,64.053,19,large_dark,high
7,0,30.718,20,hybrid_coast,high
7,0,69.362,21,large_dark,high
7,0,38.479,22,large_dark,high
7,0,59.27,24,large_dark,high
7,0,52.352,25,large_dark,high
7,0,35.789,26,hybrid_coast,high
7,0,60.585,27,large_dark,high
7,0,61.036,28,map,high
7,0,39.711,29,hybrid_coast,high
7,0,37.261,30,hybrid_coast,high
7,0,45.232,31,hybrid_coast,high
7,0,40.139,32,hybrid_coast,high
7,0,68.21,33,appearance,high
7,1,3.227,34,large_dark,high
7,0,32.584,36,appearance,high
7,0,35.201,37,hybrid_coast,high
7,0,65.286,38,hybrid_coast,high
7,0,59.411,39,large_dark,high
7,0,51.17,40,hybrid_coast,high
7,0,38.001,41,large_dark,high
7,0,39.909,42,hybrid_coast,high
7,0,73.737,43,large_dark,high
7,0,24.494,44,hybrid_coast,high
7,0,48.581,45,large_dark,high
7,0,47.84,46,large_dark,high
7,0,41.121,47,large_dark,high
7,0,70.383,49,large_dark,high
7,0,56.507,50,large_dark,high
7,0,49.242,51,large_dark,high
7,0,43.557,52,hybrid_coast,high
8,0,24.817,1,large_dark,high
8,0,24.885,2,large_dark,high
8,0,60.629,3,large_dark,high
8,0,35.192,4,hybrid_coast,high
8,0,36.506,5,hybrid_coast,high
8,0,55.296,6,hybrid_coast,high
8,0,42.444,7,hybrid_coast,high
8,0,35.689,8,hybrid_coast,high
8,0,43.578,9,hybrid_coast,high
8,0,44.646,11,hybrid_coast,high
8,0,41.664,12,hybrid_coast,high
8,0,29.988,13,hybrid_coast,high
8,0,32.791,14,hybrid_coast,high
8,0,32.359,15,hybrid_coast,high
8,0,65.846,16,large_dark,high
8,0,29.566,17,appearance,high
8,0,32.825,18,hybrid_coast,high
8,0,41.324,19,hybrid_coast,high
8,0,39.946,20,large_dark,high
8,0,25.731,21,hybrid_coast,high
8,0,58.642,22,large_dark,high
8,0,62.636,23,large_dark,high
8,0,49.267,24,hybrid_coast,high
8,0,26.666,25,hybrid_coast,high
8,0,46.563,26,large_dark,high
8,0,39.66,27,large_dark,high
8,0,27.482,30,hybrid_coast,high
8,0,70.839,31,appearance,high
