selector,frames,strict_hit,strict_recall,loose_hit,loose_recall,max_jump_px,transition_weight
viterbi_jump32_w2,699,476,0.681,564,0.8069,32.0,2.0
viterbi_jump32_w1.5,699,472,0.6753,564,0.8069,32.0,1.5
viterbi_jump32_w1,699,457,0.6538,557,0.7969,32.0,1.0
viterbi_jump24_w1.5,699,454,0.6495,535,0.7654,24.0,1.5
viterbi_jump24_w1,699,453,0.6481,541,0.774,24.0,1.0
viterbi_jump6_w2,699,449,0.6423,501,0.7167,6.0,2.0
viterbi_jump24_w0.75,699,448,0.6409,541,0.774,24.0,0.75
viterbi_jump24_w2,699,448,0.6409,535,0.7654,24.0,2.0
viterbi_jump32_w0.5,699,447,0.6395,554,0.7926,32.0,0.5
viterbi_jump6_w1.5,699,446,0.6381,501,0.7167,6.0,1.5
viterbi_jump4_w0.05,699,446,0.6381,492,0.7039,4.0,0.05
viterbi_jump32_w0.75,699,445,0.6366,554,0.7926,32.0,0.75
viterbi_jump6_w0.75,699,445,0.6366,509,0.7282,6.0,0.75
viterbi_jump4_w0.1,699,445,0.6366,492,0.7039,4.0,0.1
viterbi_jump8_w2,699,444,0.6352,502,0.7182,8.0,2.0
viterbi_jump8_w1.5,699,443,0.6338,502,0.7182,8.0,1.5
viterbi_jump4_w0.2,699,441,0.6309,491,0.7024,4.0,0.2
viterbi_jump4_w0.35,699,441,0.6309,491,0.7024,4.0,0.35
viterbi_jump4_w0.5,699,441,0.6309,491,0.7024,4.0,0.5
viterbi_jump4_w0.75,699,441,0.6309,491,0.7024,4.0,0.75
viterbi_jump4_w1,699,441,0.6309,491,0.7024,4.0,1.0
viterbi_jump4_w1.5,699,441,0.6309,491,0.7024,4.0,1.5
viterbi_jump4_w2,699,441,0.6309,491,0.7024,4.0,2.0
viterbi_jump24_w0.5,699,440,0.6295,540,0.7725,24.0,0.5
viterbi_jump6_w1,699,439,0.628,501,0.7167,6.0,1.0
viterbi_jump6_w0.05,699,438,0.6266,508,0.7268,6.0,0.05
viterbi_jump6_w0.1,699,437,0.6252,508,0.7268,6.0,0.1
viterbi_jump24_w0.35,699,434,0.6209,540,0.7725,24.0,0.35
viterbi_jump8_w0.1,699,434,0.6209,505,0.7225,8.0,0.1
viterbi_jump32_w0.1,699,433,0.6195,566,0.8097,32.0,0.1
viterbi_jump8_w0.35,699,433,0.6195,501,0.7167,8.0,0.35
viterbi_jump8_w0.2,699,432,0.618,505,0.7225,8.0,0.2
viterbi_jump32_w0.35,699,431,0.6166,550,0.7868,32.0,0.35
viterbi_jump6_w0.35,699,431,0.6166,512,0.7325,6.0,0.35
viterbi_jump6_w0.2,699,430,0.6152,508,0.7268,6.0,0.2
