frame,y,dist_px,rank,source,confidence
1,0,27.321,1,map,high
1,0,42.742,2,map,high
2,0,99.214,1,map,high
2,0,30.597,2,map,high
2,0,60.103,3,map,high
2,0,63.055,4,map,high
2,0,130.758,5,map,high
2,0,46.199,6,map,high
2,0,110.717,7,map,high
2,0,99.524,8,map,high
2,0,50.6,10,map,high
2,0,87.764,11,map,high
2,0,64.078,12,map,high
2,0,79.025,13,map,high
2,0,58.969,14,map,high
2,0,93.683,15,map,high
2,0,78.791,16,map,high
2,0,48.654,17,map,high
2,0,57.855,18,map,high
2,0,36.733,19,appearance,high
2,0,102.233,20,map,high
2,0,26.778,21,appearance,high
2,0,62.48,22,map,high
2,0,110.631,23,map,high
2,0,59.074,24,map,high
2,0,64.551,25,map,high
2,0,27.77,26,map,high
2,0,40.551,27,map,high
2,0,105.6,28,map,high
2,0,70.21,29,map,high
2,0,46.454,30,map,high
2,0,42.783,31,map,high
2,1,5.229,33,map,high
3,0,32.531,1,map,high
3,0,59.732,2,map,high
3,0,72.034,3,map,high
3,0,135.185,4,map,high
3,0,63.705,6,map,high
3,0,55.948,8,map,high
3,0,110.316,9,map,high
3,0,118.361,10,map,high
3,0,55.153,11,map,high
3,0,89.439,13,map,high
3,0,52.294,14,map,high
3,0,68.048,15,map,high
3,0,98.972,16,map,high
3,0,48.37,17,map,high
3,0,67.047,18,map,high
3,0,129.024,19,map,high
3,0,75.511,20,map,high
3,0,89.876,21,map,high
3,0,65.4,22,map,high
3,0,121.526,23,map,high
3,0,125.997,24,map,high
3,0,31.428,25,map,high
3,0,26.894,26,map,high
3,0,62.6,27,map,high
3,0,131.124,28,map,high
3,0,46.644,29,map,high
3,0,67.233,30,map,high
3,0,110.863,31,map,high
3,0,99.414,32,map,high
3,0,51.025,33,map,high
3,0,79.45,34,map,high
3,0,59.084,35,map,high
3,0,93.853,36,map,high
3,0,79.124,37,map,high
3,0,49.102,38,map,high
3,0,57.936,39,map,high
3,0,51.638,40,map,high
3,0,28.647,41,appearance,high
3,0,36.283,43,appearance,high
3,0,102.346,45,map,high
3,0,62.518,46,map,high
3,0,110.946,47,map,high
3,0,59.182,48,map,high
3,0,45.308,49,map,high
3,0,64.985,50,map,high
3,0,40.996,51,map,high
3,0,105.775,52,map,high
3,0,69.986,53,map,high
3,0,42.82,54,map,high
3,0,103.18,55,map,high
3,1,2.879,56,map,high
4,0,72.479,1,map,high
4,0,33.752,2,map,high
4,0,68.114,3,map,high
4,0,63.931,4,map,high
4,0,59.363,5,map,high
4,0,135.505,6,map,high
4,0,63.334,8,map,high
4,0,56.11,10,map,high
4,0,110.415,11,map,high
4,0,118.494,12,map,high
4,0,55.591,13,map,high
4,0,90.51,15,map,high
4,0,52.744,16,map,high
4,0,98.722,17,map,high
4,0,66.891,18,map,high
4,0,129.151,19,map,high
4,0,75.302,20,map,high
4,0,90.222,21,map,high
4,0,121.726,22,map,high
4,0,126.013,23,map,high
4,0,31.009,24,map,high
4,0,27.349,25,map,high
4,0,131.5,26,map,high
4,0,47.095,27,map,high
4,0,111.021,28,map,high
4,0,99.313,29,map,high
4,0,67.013,30,map,high
4,0,51.458,31,map,high
4,0,79.882,32,map,high
4,0,59.194,33,map,high
4,0,94.034,34,map,high
4,0,79.468,35,map,high
4,0,49.554,36,map,high
4,0,58.014,37,map,high
4,0,28.865,38,appearance,high
4,0,35.83,40,appearance,high
4,0,102.471,42,map,high
4,0,62.568,43,map,high
4,0,111.273,44,map,high
4,0,46.264,45,map,high
4,0,48.443,46,map,high
4,0,55.422,47,map,high
4,0,60.445,48,map,high
4,0,59.302,49,map,high
4,0,44.904,50,map,high
4,0,117.905,51,map,high
