clip,frame,source,orig_x,orig_y,orig_w,orig_h,orig_cx,orig_cy,x,y,w,h,det_x,det_y,det_w,det_h,visible,confidence,notes
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,0,manual_keyframe_v2,107.0,192.0,30.0,28.0,122.0,206.0,53.5,96.0,15.0,14.0,53.5,96.0,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,1,manual_key_interp_v2,107.8,191.55,30.0,28.0,122.8,205.55,53.9,95.78,15.0,14.0,53.9,95.78,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,2,manual_key_interp_v2,108.6,191.1,30.0,28.0,123.6,205.1,54.3,95.55,15.0,14.0,54.3,95.55,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,3,manual_key_interp_v2,109.4,190.65,30.0,28.0,124.4,204.65,54.7,95.33,15.0,14.0,54.7,95.33,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,4,manual_key_interp_v2,110.2,190.2,30.0,28.0,125.2,204.2,55.1,95.1,15.0,14.0,55.1,95.1,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,5,manual_key_interp_v2,111.0,189.75,30.0,28.0,126.0,203.75,55.5,94.88,15.0,14.0,55.5,94.88,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,6,manual_key_interp_v2,111.8,189.3,30.0,28.0,126.8,203.3,55.9,94.65,15.0,14.0,55.9,94.65,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,7,manual_key_interp_v2,112.6,188.85,30.0,28.0,127.6,202.85,56.3,94.42,15.0,14.0,56.3,94.42,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,8,manual_key_interp_v2,113.4,188.4,30.0,28.0,128.4,202.4,56.7,94.2,15.0,14.0,56.7,94.2,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,9,manual_key_interp_v2,114.2,187.95,30.0,28.0,129.2,201.95,57.1,93.97,15.0,14.0,57.1,93.97,15.0,14.0,1,high,vision_manual_keyframe_interpolation_v2
