model,frame,visible,rank,oof_extra_trees_score,score,x,y,w,h,source,target_candidate,strict_hit_if_selected,dist_px,verified_score,tube_verifier_score
extra_trees,1,0,2,0.141603289,0.141603289,21,146,12,12,map,0,0,,5.869879,3.012
extra_trees,2,0,2,0.159376906,0.159376906,21,146,12,12,map,0,0,,4.344879,2.837
extra_trees,3,0,1,0.135534022,0.135534022,80,147,12,12,map,0,0,,8.580173,3.346248
extra_trees,4,0,1,0.189087515,0.189087515,79,144,12,12,map,0,0,,14.761923,3.854358
extra_trees,5,0,1,0.198996339,0.198996339,78,142,12,12,map,0,0,,13.278964,3.721398
extra_trees,6,0,75,0.209278592,0.209278592,85,146,1,3,motion,0,0,,-0.048685,1.583702
extra_trees,7,0,48,0.227394846,0.227394846,85,145,1,3,motion,0,0,,-1.481201,1.501186
extra_trees,8,0,5,0.202809861,0.202809861,78,147,12,12,map,0,0,,9.429488,2.027549
extra_trees,9,0,6,0.221603729,0.221603729,76,144,12,12,map,0,0,,12.408033,2.326922
extra_trees,10,0,6,0.235245021,0.235245021,75,142,12,12,map,0,0,,12.133232,2.907006
extra_trees,11,0,13,0.219157249,0.219157249,74,140,12,12,map,0,0,,10.119976,3.615619
extra_trees,12,0,9,0.212629722,0.212629722,76,131,12,12,map,0,0,,7.335997,3.769665
extra_trees,13,0,1,0.278696947,0.278696947,93,141,12,12,map,0,0,,27.320786,2.474224
extra_trees,14,0,1,0.295512842,0.295512842,92,138,12,12,map,0,0,,31.670973,3.30624
extra_trees,15,0,1,0.346769042,0.346769042,91,136,12,12,map,0,0,,25.947273,3.589354
extra_trees,16,0,2,0.359250106,0.359250106,90,134,12,12,map,0,0,,24.06345,4.116996
extra_trees,17,0,4,0.286688374,0.286688374,81,131,12,12,map,0,0,,15.14771,3.973787
extra_trees,18,0,9,0.227856161,0.227856161,43,108,12,12,map,0,0,,7.062178,3.532241
extra_trees,19,0,17,0.223539883,0.223539883,43,107,12,12,map,0,0,,5.566532,3.386595
extra_trees,20,0,10,0.217319983,0.217319983,43,106,12,12,map,0,0,,4.129144,3.299207
extra_trees,21,0,1,0.163114773,0.163114773,98,113,12,12,map,0,0,,24.844845,2.195545
extra_trees,22,0,1,0.195058673,0.195058673,99,109,12,12,map,0,0,,18.891806,2.519025
extra_trees,23,0,1,0.277376691,0.277376691,104,103,4,10,motion,0,0,,19.283916,2.932873
extra_trees,24,0,1,0.298851871,0.298851871,104,98,12,12,map,0,0,,25.064375,4.002959
extra_trees,25,0,1,0.327254833,0.327254833,106,93,12,12,map,0,0,,19.410764,3.717482
extra_trees,26,0,1,0.342904927,0.342904927,110,86,12,12,map,0,0,,26.126339,3.970764
extra_trees,27,0,1,0.340625881,0.340625881,113,81,12,12,map,0,0,,19.357683,3.607692
extra_trees,28,0,1,0.303454908,0.303454908,116,76,12,12,map,0,0,,13.976004,3.269839
extra_trees,29,0,2,0.257268224,0.257268224,117,67,10,13,appearance,0,0,,10.611672,2.390976
extra_trees,30,0,80,0.188642859,0.188642859,113,57,12,12,map,0,0,,-0.087834,2.509406
extra_trees,31,0,4,0.179296267,0.179296267,121,53,10,13,appearance,0,0,,5.491297,1.65195
extra_trees,32,0,4,0.126123835,0.126123835,77,53,3,3,appearance,0,0,,2.718699,1.057381
extra_trees,33,0,53,0.120411665,0.120411665,77,54,3,3,appearance,0,0,,1.229087,0.917769
extra_trees,34,0,3,0.077526984,0.077526984,219,78,12,12,map,0,0,,5.293077,1.972588
extra_trees,35,0,11,0.078822507,0.078822507,77,30,12,12,map,0,0,,2.223255,2.71775
extra_trees,36,0,1,0.092617881,0.092617881,228,74,12,12,map,0,0,,6.632641,2.029262
extra_trees,37,0,6,0.106981732,0.106981732,233,72,12,12,map,0,0,,2.681717,2.214776
extra_trees,38,0,1,0.113342269,0.113342269,185,123,12,12,map,0,0,,8.119001,3.757458
extra_trees,39,0,31,0.170993517,0.170993517,89,23,13,8,appearance,0,0,,2.980757,0.709111
