acquire_threshold,track_threshold,acquire_hits,max_misses,max_jump_px,output_tentative,coast_output,frames_all,visible_frames,invisible_frames,all_frame_correct,all_frame_accuracy,visible_strict,visible_strict_recall,visible_loose,visible_loose_recall,invisible_no_box,invisible_no_box_rate,selected_frames,first_lock_frame,first_strict_frame,strict_latency_frames
0.9,0.02,1,0,12.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,0,18.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,0,24.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,0,32.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,0,48.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,1,12.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,1,18.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,1,24.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,1,32.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,1,48.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,2,12.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,2,18.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,2,24.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,2,32.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.02,1,2,48.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.05,1,0,12.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.05,1,0,18.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.05,1,0,24.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.05,1,0,32.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
0.9,0.05,1,0,48.0,0,0,250,38,212,249,0.996,38,1.0,38,1.0,211,0.9953,39,211,212,0
