clip,frame,source,orig_x,orig_y,orig_w,orig_h,orig_cx,orig_cy,x,y,w,h,confidence,notes,track_id,rank,verified_score,det_x,det_y,det_w,det_h,visible
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,450,vision_assisted_pre594_video_v1,151.0,196.0,42.0,42.0,172.0,217.0,75.5,98.0,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,75.5,98.0,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,451,vision_assisted_pre594_video_v1,151.08,195.93,42.0,42.0,172.08,216.93,75.54,97.97,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,75.54,97.97,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,452,vision_assisted_pre594_video_v1,152.17,195.86,42.0,42.0,173.17,216.86,76.08,97.93,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,76.08,97.93,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,453,vision_assisted_pre594_video_v1,152.25,195.79,42.0,42.0,173.25,216.79,76.13,97.9,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,76.13,97.9,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,454,vision_assisted_pre594_video_v1,153.34,196.72,42.0,42.0,174.34,217.72,76.67,98.36,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,76.67,98.36,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,455,vision_assisted_pre594_video_v1,154.42,196.65,42.0,42.0,175.42,217.65,77.21,98.33,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,77.21,98.33,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,456,vision_assisted_pre594_video_v1,154.5,196.58,42.0,42.0,175.5,217.58,77.25,98.29,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,77.25,98.29,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,457,vision_assisted_pre594_video_v1,155.59,197.51,42.0,42.0,176.59,218.51,77.79,98.76,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,77.79,98.76,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,458,vision_assisted_pre594_video_v1,155.67,197.44,42.0,42.0,176.67,218.44,77.84,98.72,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,77.84,98.72,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,459,vision_assisted_pre594_video_v1,156.76,198.37,42.0,42.0,177.76,219.37,78.38,99.19,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,78.38,99.19,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,460,vision_assisted_pre594_video_v1,157.84,198.3,42.0,42.0,178.84,219.3,78.92,99.15,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,78.92,99.15,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,461,vision_assisted_pre594_video_v1,157.92,198.23,42.0,42.0,178.92,219.23,78.96,99.12,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,78.96,99.12,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,462,vision_assisted_pre594_video_v1,159.01,199.16,42.0,42.0,180.01,220.16,79.5,99.58,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,79.5,99.58,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,463,vision_assisted_pre594_video_v1,159.09,199.09,42.0,42.0,180.09,220.09,79.55,99.55,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,79.55,99.55,21.0,21.0,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,464,vision_assisted_pre594_video_v1,160.17,200.02,42.0,42.0,181.17,221.02,80.09,100.01,21.0,21.0,low_medium,video_demo_low_conf_pre594_not_strict_training,,,,80.09,100.01,21.0,21.0,1
