clip,frame,source,orig_x,orig_y,orig_w,orig_h,orig_cx,orig_cy,x,y,w,h,confidence,notes,track_id,rank,verified_score,det_x,det_y,det_w,det_h,visible
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,vision_dense_recovery,376.9,215.14,23.74,23.2,388.77,226.74,188.45,107.57,11.87,11.6,medium_high,target_1c_back_extrapolated_visible,,,,188.45,107.57,11.87,11.6,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,26,vision_dense_recovery,376.24,212.44,23.74,23.22,388.11,224.05,188.12,106.22,11.87,11.61,medium_high,target_1c_back_extrapolated_visible,,,,188.12,106.22,11.87,11.61,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,27,vision_dense_recovery,375.56,209.74,23.74,23.22,387.43,221.35,187.78,104.87,11.87,11.61,medium_high,target_1c_back_extrapolated_visible,,,,187.78,104.87,11.87,11.61,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,28,vision_dense_recovery,374.9,207.06,23.74,23.24,386.77,218.68,187.45,103.53,11.87,11.62,medium_high,target_1c_back_extrapolated_visible,,,,187.45,103.53,11.87,11.62,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,29,vision_dense_recovery,374.22,204.36,23.76,23.26,386.1,215.99,187.11,102.18,11.88,11.63,medium_high,target_1c_back_extrapolated_visible,,,,187.11,102.18,11.88,11.63,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,30,map,374.0,202.0,24.0,24.0,386.0,214.0,187.0,101.0,12.0,12.0,high,target_1c_measured_anchor,,,,187.0,101.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,31,map,374.0,198.0,24.0,24.0,386.0,210.0,187.0,99.0,12.0,12.0,high,target_1c_measured_anchor,,,,187.0,99.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,32,map,372.0,194.0,24.0,24.0,384.0,206.0,186.0,97.0,12.0,12.0,high,target_1c_measured_anchor,,,,186.0,97.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,33,map,372.0,192.0,24.0,24.0,384.0,204.0,186.0,96.0,12.0,12.0,high,target_1c_measured_anchor,,,,186.0,96.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,34,map,370.0,188.0,24.0,24.0,382.0,200.0,185.0,94.0,12.0,12.0,high,target_1c_measured_anchor,,,,185.0,94.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,35,map,372.0,188.0,24.0,24.0,384.0,200.0,186.0,94.0,12.0,12.0,high,target_1c_measured_anchor,,,,186.0,94.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,36,map,370.0,184.0,24.0,24.0,382.0,196.0,185.0,92.0,12.0,12.0,high,target_1c_measured_anchor,,,,185.0,92.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,37,map,368.0,180.0,24.0,24.0,380.0,192.0,184.0,90.0,12.0,12.0,high,target_1c_measured_anchor,,,,184.0,90.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,38,map,372.0,182.0,24.0,24.0,384.0,194.0,186.0,91.0,12.0,12.0,high,target_1c_measured_anchor,,,,186.0,91.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,39,appearance,374.0,190.0,20.0,12.0,384.0,196.0,187.0,95.0,10.0,6.0,high,target_1c_measured_anchor,,,,187.0,95.0,10.0,6.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,40,map,364.0,178.0,24.0,24.0,376.0,190.0,182.0,89.0,12.0,12.0,high,target_1c_measured_anchor,,,,182.0,89.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,41,map,362.0,174.0,24.0,24.0,374.0,186.0,181.0,87.0,12.0,12.0,high,target_1c_measured_anchor,,,,181.0,87.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,42,map,360.0,170.0,24.0,24.0,372.0,182.0,180.0,85.0,12.0,12.0,high,target_1c_measured_anchor,,,,180.0,85.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,43,map,360.0,168.0,24.0,24.0,372.0,180.0,180.0,84.0,12.0,12.0,high,target_1c_measured_anchor,,,,180.0,84.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,44,map,358.0,164.0,24.0,24.0,370.0,176.0,179.0,82.0,12.0,12.0,high,target_1c_measured_anchor,,,,179.0,82.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,45,map,360.0,162.0,24.0,24.0,372.0,174.0,180.0,81.0,12.0,12.0,high,target_1c_measured_anchor,,,,180.0,81.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,46,map,368.0,152.0,24.0,24.0,380.0,164.0,184.0,76.0,12.0,12.0,high,target_1c_measured_anchor,,,,184.0,76.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,47,map,370.0,146.0,24.0,24.0,382.0,158.0,185.0,73.0,12.0,12.0,high,target_1c_measured_anchor,,,,185.0,73.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,48,map,360.0,154.0,24.0,24.0,372.0,166.0,180.0,77.0,12.0,12.0,high,target_1c_measured_anchor,,,,180.0,77.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,49,map,360.0,152.0,24.0,24.0,372.0,164.0,180.0,76.0,12.0,12.0,high,target_1c_measured_anchor,,,,180.0,76.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,50,map,364.0,150.0,24.0,24.0,376.0,162.0,182.0,75.0,12.0,12.0,high,target_1c_measured_anchor,,,,182.0,75.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,51,map,364.0,148.0,24.0,24.0,376.0,160.0,182.0,74.0,12.0,12.0,high,target_1c_measured_anchor,,,,182.0,74.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,52,map,364.0,146.0,24.0,24.0,376.0,158.0,182.0,73.0,12.0,12.0,high,target_1c_measured_anchor,,,,182.0,73.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,53,map,358.0,150.0,24.0,24.0,370.0,162.0,179.0,75.0,12.0,12.0,high,target_1c_measured_anchor,,,,179.0,75.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,54,map,356.0,150.0,24.0,24.0,368.0,162.0,178.0,75.0,12.0,12.0,high,target_1c_measured_anchor,,,,178.0,75.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,55,map,360.0,146.0,24.0,24.0,372.0,158.0,180.0,73.0,12.0,12.0,high,target_1c_measured_anchor,,,,180.0,73.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,56,map,358.0,146.0,24.0,24.0,370.0,158.0,179.0,73.0,12.0,12.0,high,target_1c_measured_anchor,,,,179.0,73.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,57,map,358.0,148.0,24.0,24.0,370.0,160.0,179.0,74.0,12.0,12.0,high,target_1c_measured_anchor,,,,179.0,74.0,12.0,12.0,1
1c1258a1-d0f6-433e-9466-dbc1705fa263,58,map,352.0,146.0,24.0,24.0,364.0,158.0,176.0,73.0,12.0,12.0,high,target_1c_measured_anchor,,,,176.0,73.0,12.0,12.0,1
