threshold,full_frames,full_selected,full_selected_frac,selected_runs,selected_runs_ge3,selected_runs_ge5,selected_max_run,packet_frames,packet_target_frames,packet_no_target_frames,packet_target_hit,packet_target_wrong,packet_target_unlabeled,packet_target_miss,packet_no_target_tn,packet_no_target_fp,packet_no_target_unlabeled_fp,packet_target_recall_known,packet_precision_known,packet_precision_conservative,packet_no_target_suppression_known,fulltop_frames,fulltop_target_frames,fulltop_no_target_frames,fulltop_target_hit,fulltop_target_wrong,fulltop_target_unlabeled,fulltop_target_miss,fulltop_no_target_tn,fulltop_no_target_fp,fulltop_no_target_unlabeled_fp,fulltop_target_recall_known,fulltop_precision_known,fulltop_precision_conservative,fulltop_no_target_suppression_known
0.3,5876,4865,0.8279,324,99,79,295,35,15,20,13,2,0,0,7,13,0,0.867,0.464,0.464,0.35,35,15,20,13,2,0,0,5,15,0,0.867,0.433,0.433,0.25
0.35,5876,4049,0.6891,232,98,88,216,35,15,20,13,2,0,0,14,6,0,0.867,0.619,0.619,0.7,35,15,20,13,2,0,0,13,7,0,0.867,0.591,0.591,0.65
0.4,5876,3525,0.5999,188,105,89,177,35,15,20,13,2,0,0,14,6,0,0.867,0.619,0.619,0.7,35,15,20,13,2,0,0,13,7,0,0.867,0.591,0.591,0.65
0.44,5876,3173,0.54,178,103,90,157,35,15,20,13,2,0,0,16,4,0,0.867,0.684,0.684,0.8,35,15,20,13,2,0,0,14,6,0,0.867,0.619,0.619,0.7
0.47,5876,2803,0.477,212,112,92,157,35,15,20,12,2,0,1,17,3,0,0.8,0.706,0.706,0.85,35,15,20,12,2,0,1,15,5,0,0.8,0.632,0.632,0.75
0.5,5876,2375,0.4042,179,99,84,157,35,15,20,12,1,0,2,18,2,0,0.8,0.8,0.8,0.9,35,15,20,12,1,0,2,17,3,0,0.8,0.75,0.75,0.85
0.526165067754,5876,2087,0.3552,172,89,76,157,35,15,20,12,0,0,3,20,0,0,0.8,1.0,1.0,1.0,35,15,20,12,0,0,3,19,1,0,0.8,0.923,0.923,0.95
0.55,5876,1814,0.3087,171,92,65,155,35,15,20,12,0,0,3,20,0,0,0.8,1.0,1.0,1.0,35,15,20,12,0,0,3,19,1,0,0.8,0.923,0.923,0.95
0.6,5876,1396,0.2376,121,56,48,152,35,15,20,11,0,0,4,20,0,0,0.733,1.0,1.0,1.0,35,15,20,11,0,0,4,20,0,0,0.733,1.0,1.0,1.0
0.65,5876,1099,0.187,123,43,34,129,35,15,20,10,0,0,5,20,0,0,0.667,1.0,1.0,1.0,35,15,20,10,0,0,5,20,0,0,0.667,1.0,1.0,1.0
0.7,5876,845,0.1438,90,31,26,124,35,15,20,10,0,0,5,20,0,0,0.667,1.0,1.0,1.0,35,15,20,10,0,0,5,20,0,0,0.667,1.0,1.0,1.0
0.75,5876,643,0.1094,73,19,13,110,35,15,20,8,0,0,7,20,0,0,0.533,1.0,1.0,1.0,35,15,20,8,0,0,7,20,0,0,0.533,1.0,1.0,1.0
0.8,5876,504,0.0858,47,23,15,66,35,15,20,7,0,0,8,20,0,0,0.467,1.0,1.0,1.0,35,15,20,7,0,0,8,20,0,0,0.467,1.0,1.0,1.0
0.85,5876,381,0.0648,52,17,14,46,35,15,20,7,0,0,8,20,0,0,0.467,1.0,1.0,1.0,35,15,20,7,0,0,8,20,0,0,0.467,1.0,1.0,1.0
0.9,5876,230,0.0391,48,16,7,32,35,15,20,5,0,0,10,20,0,0,0.333,1.0,1.0,1.0,35,15,20,5,0,0,10,20,0,0,0.333,1.0,1.0,1.0
0.95,5876,9,0.0015,9,0,0,1,35,15,20,1,0,0,14,20,0,0,0.067,1.0,1.0,1.0,35,15,20,1,0,0,14,20,0,0,0.067,1.0,1.0,1.0
