frame,track_id,x,y,w,h,score,verified_score,tube_verifier_score,misses,vx,vy,cand_is_current,cand_frame,cand_source,cand_area,cand_fill,cand_aspect,cand_mean_residual,cand_mean_appearance,cand_local_contrast,cand_texture,cand_line_context,cand_isolation,cand_score,cand_local_flow_score,cand_local_flow_delta_px,cand_local_flow_bg_sigma,cand_local_flow_inside_n,cand_local_flow_annulus_n,cand_local_bg_residual,cand_local_residual_ratio,cand_local_comp_score,cand_map_score,cand_attached_support,cand_native_dark_score,cand_sky_like,cand_router_state,cand_router_confidence,cand_router_close_sky_like,cand_router_close_texture,cand_router_far_sky_like,cand_router_far_texture,tube_tube_hits,tube_tube_len,tube_hit_rate,tube_miss_rate,tube_mean_score,tube_score_std,tube_mean_map_score,tube_map_hit_rate,tube_appearance_only_rate,tube_surface_source_rate,tube_router_surface_backed_rate,tube_router_clean_sky_rate,tube_router_boundary_rate,tube_router_line_attached_rate,tube_router_unknown_rate,tube_tiny_rate,tube_mean_line_context,tube_max_line_context,tube_mean_attached_support,tube_max_attached_support,tube_mean_native_dark_score,tube_max_native_dark_score,tube_mean_sky_like,tube_max_sky_like,tube_sky_hit_rate,tube_mean_texture,tube_mean_residual,tube_mean_appearance,tube_mean_area,tube_mean_pair_score,tube_positive_pair_rate,tube_mean_pair_raw,tube_positive_pair_raw_rate,tube_mean_pair_bg,tube_positive_pair_bg_rate,tube_mean_pair_bg_local,tube_positive_pair_bg_local_rate,tube_mean_align_gain,tube_positive_align_rate,tube_mean_bg_dist,tube_mean_cv_resid,tube_mean_bg_minus_cv,tube_mean_cand_density,tube_log_cand_density,tube_mean_speed,tube_max_speed,tube_mean_accel,tube_max_accel
3,4,80,102,14,14,11.145545,14.205885,3.06034,0,0.0,0.2275,1,3,large_dark,196,1.0,1.0,5.76,6.62,7.14,95.26,0.424,0.0,4.628,0.0,0.0,0.0,0,0,0.0,0.0,0.0,51.677,2.931,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.686667,0.041684,52.717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.435,0.442,2.890667,2.931,0.0,0.0,0.0,0.0,0.0,95.513333,3.743333,6.28,196.0,0.070295,0.333333,0.070295,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.45,-0.116667,20.333333,3.060271,0.333333,1.0,0.45,1.0
4,4,80,102,14,14,15.337713,18.330706,2.992993,0,0.0,0.147875,1,4,large_dark,196,1.0,1.0,0.05,6.61,7.07,95.2,0.426,0.0,4.576,0.0,0.0,0.0,0,0,0.0,0.0,0.0,51.673,2.921,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,4.659,0.059996,52.456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43275,0.442,2.89825,2.931,0.0,0.0,0.0,0.0,0.0,95.435,2.82,6.3625,196.0,0.052721,0.25,0.052721,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.394375,-0.144375,20.25,3.056357,0.25,1.0,0.394375,1.0
5,4,80,102,14,14,19.518996,22.486011,2.967014,0,0.0,0.096119,1,5,large_dark,196,1.0,1.0,5.48,7.08,7.88,94.89,0.428,0.0,4.562,0.0,0.0,0.0,0,0,0.0,0.0,0.0,50.71,2.812,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,4.6396,0.06622,52.1068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4318,0.442,2.881,2.931,0.0,0.0,0.0,0.0,0.0,95.326,3.352,6.506,196.0,0.042177,0.2,0.042177,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.345075,0.054925,20.6,3.072693,0.2,1.0,0.345075,1.0
6,4,80,102,14,14,23.655883,26.605637,2.949754,0,0.0,0.062477,1,6,large_dark,196,1.0,1.0,0.0,7.08,7.88,94.88,0.427,0.0,4.513,0.0,0.0,0.0,0,0,0.0,0.0,0.0,50.71,2.813,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,4.6185,0.076683,51.874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.431,0.442,2.869667,2.931,0.0,0.0,0.0,0.0,0.0,95.251667,2.793333,6.601667,196.0,0.035147,0.166667,0.035147,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.303582,0.029751,20.666667,3.075775,0.166667,1.0,0.303582,1.0
7,4,80,103,14,14,27.747102,30.725462,2.978361,0,0.0,0.39061,1,7,large_dark,196,1.0,1.0,4.77,7.53,7.19,94.18,0.406,0.0,4.537,0.0,0.0,0.0,0,0,0.0,0.0,0.0,50.374,2.702,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,4.606857,0.076509,51.659714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.427429,0.442,2.845714,2.931,0.0,0.0,0.0,0.0,0.0,95.098571,3.075714,6.734286,196.0,0.034985,0.142857,0.034985,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.394145,-0.108431,20.714286,3.07797,0.285714,1.0,0.394145,1.0
8,4,80,104,14,14,31.686286,34.67915,2.992863,0,0.0,0.603897,1,8,large_dark,196,1.0,1.0,5.15,7.99,6.3,93.9,0.394,0.0,4.491,0.0,0.0,0.0,0,0,0.0,0.0,0.0,49.698,2.73,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,4.592375,0.081179,51.4145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42325,0.442,2.83125,2.931,0.0,0.0,0.0,0.0,0.0,94.94875,3.335,6.89125,196.0,0.009354,0.125,0.009354,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.421051,-0.171051,20.75,3.079614,0.375,1.0,0.421051,1.0
9,4,80,104,14,14,35.733369,38.720692,2.987323,0,0.0,0.392533,1,9,large_dark,196,1.0,1.0,0.55,7.98,6.5,93.98,0.397,0.0,4.452,0.0,0.0,0.0,0,0,0.0,0.0,0.0,49.716,2.746,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,4.576778,0.08834,51.225778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.420333,0.442,2.821778,2.931,0.0,0.0,0.0,0.0,0.0,94.841111,3.025556,7.012222,196.0,0.008314,0.111111,0.008314,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,0.222222,0.441367,-0.219145,20.777778,3.08089,0.333333,1.0,0.441367,1.0
10,4,80,104,14,14,37.354592,40.356427,3.001834,0,0.0,0.255146,1,10,large_dark,196,1.0,1.0,4.34,8.45,7.88,93.67,0.394,0.0,4.535,0.0,0.0,0.0,0,0,0.0,0.0,0.0,50.093,2.729,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,4.556111,0.072523,50.833444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.415,0.439,2.81,2.931,0.0,0.0,0.0,0.0,0.0,94.635556,3.507778,7.301111,196.0,0.008314,0.111111,0.008314,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.484982,-0.151648,21.0,3.091042,0.333333,1.0,0.484982,1.0
11,4,80,104,14,14,37.099979,40.034355,2.934376,0,0.0,0.165845,1,11,large_dark,196,1.0,1.0,0.06,8.45,7.89,93.73,0.395,0.0,4.498,0.0,0.0,0.0,0,0,0.0,0.0,0.0,50.098,2.728,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,4.532444,0.049083,50.527667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.410111,0.428,2.790222,2.931,0.0,0.0,0.0,0.0,0.0,94.41,2.906667,7.532222,196.0,-0.015117,0.0,-0.015117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.40222,-0.068887,20.888889,3.085979,0.222222,1.0,0.40222,0.937523
12,4,80,104,14,14,37.023737,39.974697,2.95096,0,0.0,0.107799,1,12,large_dark,196,1.0,1.0,4.85,8.8,7.89,92.62,0.385,0.0,4.521,0.0,0.0,0.0,0,0,0.0,0.0,0.0,49.755,2.796,0.0,0.0,unrouted,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,4.520556,0.035606,50.314111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.405778,0.428,2.775222,2.921,0.0,0.0,0.0,0.0,0.0,94.116667,2.805556,7.774444,196.0,-0.015117,0.0,-0.015117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.381759,-0.048425,20.666667,3.075775,0.222222,1.0,0.381759,0.937523
