frame,track_id,x,y,w,h,score,misses
3,4,80,102,14,14,11.14554506777397,0
4,4,80,102,14,14,15.337712914221173,0
5,4,80,102,14,14,19.5189964798815,0
6,4,80,102,14,14,23.65588330028321,0
7,4,80,103,14,14,27.747101645922974,0
8,4,80,104,14,14,31.686286302995455,0
9,4,80,104,14,14,35.733369027034335,0
10,4,80,104,14,14,37.35459247248139,0
11,4,80,104,14,14,37.099979139714314,0
12,4,80,104,14,14,37.02373698348768,0
13,4,80,106,14,14,36.31853584779013,0
14,4,80,106,14,14,36.085931582942784,0
15,4,80,106,14,14,35.975278331256845,0
16,4,80,106,14,14,35.89340008700268,0
17,4,80,107,14,14,35.74132587540094,0
18,4,80,108,14,14,35.410719781195304,0
19,1,64,93,14,14,52.18584277747367,0
20,4,80,108,14,14,34.60939895185235,0
21,1,64,93,14,14,51.5303782143068,0
22,1,65,92,14,14,50.665677197907584,0
23,1,66,92,14,14,50.36494832564864,0
24,1,66,92,14,14,50.346807483835626,0
25,1,66,91,14,14,50.00004530365523,0
26,1,66,91,14,14,49.72711999892658,0
27,1,66,91,14,14,49.276190040640266,0
28,1,67,90,14,14,48.614645394004455,0
29,1,67,92,14,14,47.347120090068934,0
30,1,68,92,14,14,46.85483779262382,0
31,1,68,92,14,14,46.89768132350795,0
32,1,68,91,14,14,46.51920938340348,0
33,1,69,91,14,14,46.313420881618036,0
34,1,69,91,14,14,46.02251645184516,0
35,1,70,90,14,14,46.002364842653066,0
36,1,70,90,14,14,46.0676408770676,0
37,1,70,90,14,14,46.65765238170236,0
38,1,70,90,14,14,48.22903907961264,0
39,1,70,90,14,14,49.04431279232938,0
40,1,71,90,14,14,49.63074915019145,0
41,1,71,90,14,14,50.35660220888384,0
42,1,72,90,14,14,51.16878142996074,0
43,1,72,89,14,14,51.84433225080091,0
44,1,72,89,14,14,52.293706047263356,0
45,1,72,88,14,14,52.896578309587866,0
46,1,72,88,14,14,53.17331098899306,0
47,1,72,90,7,7,48.384218824262234,0
48,1,73,88,14,14,52.62694148255367,0
49,1,73,88,14,14,52.94397937665398,0
50,1,73,86,14,14,52.8037880907508,0
51,1,73,86,14,14,52.7876748117031,0
52,1,84,91,3,3,44.89289375492274,0
53,1,84,91,3,3,46.5752235507142,0
54,1,84,91,3,3,46.64152591044897,0
55,1,84,91,3,3,46.975047964367235,0
56,1,84,91,3,3,47.126862291048056,0
57,1,80,90,7,7,51.696419619988085,0
58,1,75,84,14,14,57.704301051288375,0
59,1,75,84,14,14,59.177694272102165,0
60,1,76,83,14,14,60.443974229575,0
61,1,76,83,14,14,61.88608122040243,0
62,1,81,90,3,3,58.00442137351316,0
63,1,76,80,14,14,64.56639098581535,0
64,1,82,89,3,4,57.542819968852314,0
65,1,76,82,14,14,66.32907527017619,0
66,1,76,82,14,14,67.39832994759884,0
67,1,77,82,14,14,68.40753144598838,0
68,1,78,82,14,14,69.2677391675532,0
69,1,78,82,14,14,70.25860460950275,0
70,1,78,81,14,14,71.22789083694236,0
71,1,78,81,14,14,71.77443011062111,0
72,1,78,81,14,14,72.755755540117,0
73,1,78,80,14,14,73.82717035437474,0
74,1,78,80,14,14,75.02079680853484,0
75,1,78,80,14,14,75.45101411270934,0
76,1,78,80,14,14,75.84797796580202,0
77,1,78,80,14,14,76.40640001671333,0
78,1,78,80,14,14,76.7279153471227,0
79,1,78,80,14,14,76.74439903811445,0
80,1,85,88,3,3,70.26207484431777,0
81,1,85,88,3,3,70.07819953977332,0
82,1,79,80,14,14,76.81490782787755,0
83,1,79,80,14,14,77.08998550108433,0
84,1,79,80,14,14,77.19743267864634,0
85,1,79,80,14,14,77.46224764922408,0
86,1,79,80,14,14,77.5420382927387,0
87,1,79,81,14,14,77.711372777637,0
88,1,80,81,14,14,77.7478927768434,0
89,1,80,81,14,14,77.85322491558216,0
90,1,80,81,14,14,77.87282972079066,0
91,1,80,81,14,14,77.68305712720364,0
92,1,79,82,14,14,77.55615580128413,0
93,1,79,82,14,14,77.45430310230729,0
94,1,79,82,14,14,77.16215338886765,0
95,1,79,82,14,14,77.00107615107882,0
96,1,79,82,14,14,76.73523453373564,0
97,1,79,82,14,14,76.58375081833213,0
98,1,84,90,3,3,71.13120599114212,0
99,1,84,90,3,3,68.60169795814626,0
100,1,84,90,3,3,69.66551795033185,0
101,1,84,90,3,3,68.72844271940681,0
102,1,84,89,3,5,69.38152838822351,0
103,1,78,83,14,14,74.81467251419879,0
104,1,78,83,14,14,74.4625927973084,0
105,1,83,91,4,4,69.09060814463706,0
106,1,83,91,4,4,66.61127892593288,0
107,1,83,91,3,4,67.34045256725977,0
108,1,83,91,3,4,66.76087243492913,0
109,1,83,91,3,4,66.70931886803243,0
110,1,82,92,4,4,65.60466208843502,0
111,1,82,92,4,4,65.93607282392975,0
112,1,82,92,3,4,66.24599571215474,0
113,1,76,84,14,14,71.83502768298493,0
114,1,76,84,14,14,71.63452665196736,0
115,1,81,93,4,4,65.47952814397341,0
116,1,81,93,4,4,64.6967739682052,0
117,1,81,92,3,5,65.00014986354263,0
118,1,80,93,4,4,65.13054754681988,0
119,1,80,93,4,4,64.71022361914035,0
120,1,80,93,3,4,64.94284462110689,0
121,1,80,93,3,4,65.13868890339359,0
122,1,80,92,3,5,65.28365947204132,0
123,1,79,93,4,4,65.0250091847358,0
124,1,79,93,4,4,61.73528338314951,0
125,1,69,85,14,14,71.05216134805144,0
126,1,79,93,3,4,61.14367592126787,0
127,1,79,92,3,5,61.02357544813603,0
128,1,78,93,4,4,58.581233131310334,0
129,1,78,93,4,4,53.358139475906924,0
130,1,76,92,5,5,55.46249546963112,0
131,1,78,93,4,4,54.344065571367096,0
132,1,78,93,4,4,53.93806180889105,0
133,1,78,92,3,5,55.310493296794135,0
134,690,120,120,14,14,39.562369870791166,0
135,24,18,116,14,14,25.746072972347907,0
136,1,77,92,4,5,48.68230400592602,0
137,1,72,84,14,14,53.65286580128363,0
138,24,14,118,14,14,25.11745287233301,0
139,1440,104,125,14,14,31.913319536886767,0
140,24,13,118,14,14,20.552248579715766,1
141,1440,106,126,14,14,31.912318764891623,0
142,1,72,82,14,14,42.653893986872944,0
143,1,67,84,14,14,47.78206816149334,0
144,1,67,84,14,14,48.03522229449177,0
145,1,66,86,14,14,47.11431596018491,0
146,1,66,86,14,14,50.249366019645905,0
147,1,67,83,14,14,56.4052225228722,0
