clip,frame,time_s,visible,confidence,det_x,det_y,det_w,det_h,source,notes
d129cd72-3228-426d-9252-4e0b3e14927b,0,0.0,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,1,0.02,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,2,0.04,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,3,0.06,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,4,0.081,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,5,0.101,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,6,0.121,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,7,0.141,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,8,0.161,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,9,0.181,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,10,0.202,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,11,0.222,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,12,0.242,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,13,0.262,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,14,0.282,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,15,0.302,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,16,0.323,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,17,0.343,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,18,0.363,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,19,0.383,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,20,0.403,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,21,0.423,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,22,0.444,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,23,0.464,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
d129cd72-3228-426d-9252-4e0b3e14927b,24,0.484,0,high_not_visible,,,,,gpt_vision_full_video_d129_v1,No drone visible to GPT vision in full-frame contact sheet; expect no selected box.
