frame,visible,score,rank,x,y,w,h,dist_px,strict_hit,loose_hit
0,0,,,,,,,,False,False
1,0,0.5689331410558498,1,81,149,12,12,,False,False
2,0,0.5358922273510044,1,81,149,12,12,,False,False
3,0,0.7916944018540726,1,80,147,12,12,,False,False
4,0,0.839904853534292,1,79,144,12,12,,False,False
5,0,0.839904853534292,1,78,142,12,12,,False,False
6,0,0.8400787998285892,3,77,140,12,12,,False,False
7,0,0.6443222910296075,2,101,150,12,12,,False,False
8,0,0.6469443593633142,1,101,149,12,12,,False,False
9,0,0.6469443593633142,1,98,146,12,12,,False,False
10,0,0.6469443593633142,1,95,144,12,12,,False,False
11,0,0.6469443593633142,2,102,147,5,4,,False,False
12,0,0.28679988716217003,1,93,141,12,12,,False,False
13,0,0.6044621308683528,1,93,141,12,12,,False,False
14,0,0.9013457968824323,1,92,138,12,12,,False,False
15,0,0.8870287736082623,1,91,136,12,12,,False,False
16,0,0.6775406670012808,3,100,138,5,4,,False,False
17,0,0.6014085697775934,1,92,130,12,12,,False,False
18,0,0.6014085697775934,2,95,128,12,12,,False,False
19,0,0.6372343221870914,1,95,121,12,12,,False,False
20,0,0.6012064070162139,1,95,117,12,12,,False,False
21,0,0.6372343221870914,1,98,113,12,12,,False,False
22,0,0.5664313580265238,1,99,109,12,12,,False,False
23,0,0.3779519607053231,1,104,103,4,10,,False,False
24,0,0.47807806081215615,1,104,98,12,12,,False,False
25,0,0.24109473610052204,1,106,93,12,12,,False,False
26,0,0.2912198050710689,1,110,86,12,12,,False,False
27,0,0.24109473610052204,1,113,81,12,12,,False,False
28,0,0.17598594546604954,1,116,76,12,12,,False,False
29,0,0.17598594546604954,2,117,67,10,13,,False,False
30,0,0.10837330929101346,15,223,106,12,12,,False,False
31,0,0.1224302462762102,10,230,84,5,5,,False,False
32,0,0.10994744514753495,9,230,84,5,5,,False,False
33,0,0.10659915728836943,57,230,84,5,5,,False,False
34,0,0.1224302462762102,8,246,74,5,5,,False,False
35,0,0.15426606896249784,4,246,76,3,4,,False,False
36,0,0.20169746913830164,7,254,72,5,5,,False,False
37,0,0.44672964783521835,1,255,73,4,4,,False,False
38,0,0.08832675701556852,44,255,73,4,4,,False,False
39,0,0.03829546078309458,3,179,62,12,12,,False,False
40,0,0.026000528902265455,9,89,23,13,8,,False,False
41,0,0.09964608858290763,3,296,99,12,12,,False,False
42,0,0.08185803696809166,3,181,60,8,7,,False,False
43,0,0.12579072081589177,1,278,76,3,3,,False,False
44,0,0.1852638156134428,2,136,36,7,6,,False,False
45,0,0.3440459079739413,2,136,36,7,6,,False,False
46,0,0.3440459079739413,2,136,37,7,6,,False,False
