acquire_threshold,track_threshold,acquire_hits,max_misses,max_jump_px,output_tentative,coast_output,frames_all,visible_frames,invisible_frames,all_frame_correct,all_frame_accuracy,visible_strict,visible_strict_recall,visible_loose,visible_loose_recall,invisible_no_box,invisible_no_box_rate,selected_frames,first_lock_frame,first_strict_frame,strict_latency_frames
0.85,0.45,3,0,12.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.45,3,0,18.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.45,3,0,24.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.45,3,0,32.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.45,3,0,48.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.5,3,0,12.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.5,3,0,18.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.5,3,0,24.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.5,3,0,32.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.5,3,0,48.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.55,3,0,12.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.55,3,0,18.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.55,3,0,24.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.55,3,0,32.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.55,3,0,48.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.6,3,0,12.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.6,3,0,18.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.6,3,0,24.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.6,3,0,32.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.6,3,0,48.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.65,3,0,12.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.65,3,0,18.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.65,3,0,24.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.65,3,0,32.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.65,3,0,48.0,0,0,250,38,212,225,0.9,26,0.6842,26,0.6842,199,0.9387,39,224,224,12
0.85,0.45,3,1,12.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.5,3,1,12.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.5,3,1,18.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.5,3,1,24.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.5,3,1,32.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.5,3,1,48.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,1,12.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,1,18.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,1,24.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,1,32.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,1,48.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,2,12.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,2,18.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,2,24.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,2,32.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,2,48.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,3,12.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,3,18.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,3,24.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,3,32.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.55,3,3,48.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,1,12.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,1,18.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,1,24.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,1,32.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,1,48.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,2,12.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,2,18.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
0.85,0.6,3,2,24.0,0,0,250,38,212,224,0.896,26,0.6842,26,0.6842,198,0.934,40,224,224,12
