frame,rank,track_id,x,y,w,h,score,verified_score,tube_verifier_score,eligible,passes_floor,selected,hits,misses,vx,vy,competitor_margin,cand_source,cand_area,cand_fill,cand_aspect,cand_mean_residual,cand_mean_appearance,cand_local_contrast,cand_texture,cand_line_context,cand_isolation,cand_score,cand_local_flow_score,cand_local_flow_delta_px,cand_local_flow_bg_sigma,cand_local_flow_inside_n,cand_local_flow_annulus_n,cand_local_bg_residual,cand_local_residual_ratio,cand_local_comp_score,cand_map_score,cand_attached_support,cand_native_dark_score,cand_sky_like,tube_tube_hits,tube_tube_len,tube_hit_rate,tube_miss_rate,tube_mean_score,tube_score_std,tube_mean_map_score,tube_map_hit_rate,tube_appearance_only_rate,tube_tiny_rate,tube_mean_line_context,tube_max_line_context,tube_mean_attached_support,tube_max_attached_support,tube_mean_native_dark_score,tube_max_native_dark_score,tube_mean_sky_like,tube_max_sky_like,tube_sky_hit_rate,tube_mean_texture,tube_mean_residual,tube_mean_appearance,tube_mean_area,tube_mean_pair_score,tube_positive_pair_rate,tube_mean_pair_raw,tube_positive_pair_raw_rate,tube_mean_pair_bg,tube_positive_pair_bg_rate,tube_mean_pair_bg_local,tube_positive_pair_bg_local_rate,tube_mean_align_gain,tube_positive_align_rate,tube_mean_bg_dist,tube_mean_cv_resid,tube_mean_bg_minus_cv,tube_mean_cand_density,tube_log_cand_density,tube_mean_speed,tube_max_speed,tube_mean_accel,tube_max_accel,learned_score,fold
631,1,1,59,89,14,14,96.983012,99.870311,2.8873,1,1,1,9,0,-0.149012,-0.01776,7.992629,large_dark,196,1.0,1.0,21.84,15.12,18.53,53.55,0.876,0.0,11.159,0.0,0.0,0.0,0,0,0.0,0.0,0.0,129.625,2.407,0.0,0.0,9.0,9.0,1.0,0.0,11.744111,0.294153,137.937111,1.0,0.0,0.0,0.826444,0.876,2.503556,2.763,0.0,0.0,0.0,0.0,0.0,51.944444,11.952222,14.714444,196.0,-0.070801,0.111111,-0.070801,0.111111,-0.990133,0.0,-0.72924,0.0,-0.164044,0.0,1.488705,0.386662,1.102043,14.777778,2.758602,0.222222,1.0,0.386662,0.997958,0.9993795279902603,0
631,2,1,68,92,5,5,88.676217,91.877682,3.201466,1,1,0,9,0,1.425988,-0.54276,5.904174,map,25,1.0,1.0,84.0,79.36,100.31,74.56,0.24,0.0,4.394,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.334,1.057,0.0,0.0,9.0,9.0,1.0,0.0,10.992444,2.342256,123.793667,1.0,0.0,0.0,0.755778,0.874,2.353556,2.763,0.0,0.0,0.0,0.0,0.0,54.278889,18.858889,21.852222,177.0,0.0383,0.222222,0.0383,0.222222,-0.881031,0.0,-0.719177,0.0,-0.024601,0.111111,1.590425,0.911369,0.679055,14.777778,2.758602,0.749268,4.743416,0.911369,4.953238,0.9998939802369339,0
631,3,1,67,86,12,12,82.967899,85.973508,3.00561,1,1,0,9,0,2.300988,-1.41776,22.848257,map,144,1.0,1.0,46.21,24.58,9.8,45.3,0.902,0.0,6.077,0.0,0.0,0.0,0,0,0.0,0.0,0.0,5.201,2.504,0.0,0.0,9.0,9.0,1.0,0.0,11.179444,1.816067,124.112222,1.0,0.0,0.0,0.829333,0.902,2.514333,2.763,0.0,0.0,0.0,0.0,0.0,51.027778,14.66,15.765556,190.222222,-0.204119,0.111111,-0.204119,0.111111,-1.098891,0.0,-1.066136,0.0,-0.102261,0.111111,1.977941,1.277553,0.700388,14.777778,2.758602,1.118029,8.062258,1.277553,8.248891,0.9992800298488733,0
631,4,1,71,84,12,12,60.16965,63.125251,2.955602,0,1,0,7,2,2.097309,-1.442036,17.206974,map,144,1.0,1.0,43.4,24.96,10.43,44.64,0.899,0.0,5.793,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.902,2.561,0.0,0.0,7.0,9.0,0.777778,0.222222,10.973857,2.127493,120.022571,1.0,0.0,0.0,0.831571,0.899,2.534,2.763,0.0,0.0,0.0,0.0,0.0,50.341429,15.491429,16.195714,188.571429,-0.292994,0.111111,-0.292994,0.111111,-0.829451,0.0,-0.96147,0.0,-0.078353,0.111111,1.665914,1.008315,0.6576,14.777778,2.758602,1.477951,7.211103,1.008315,7.178893,0.9949387998600858,0
631,5,6609,64,126,14,14,43.048235,45.918278,2.870043,1,1,0,9,0,0.701318,0.561461,12.416044,large_dark,196,1.0,1.0,9.96,9.57,6.64,78.26,0.568,0.0,5.275,0.0,0.0,0.0,0,0,0.0,0.0,0.0,59.0,3.452,0.0,0.0,9.0,9.0,1.0,0.0,5.349444,0.116862,60.345667,1.0,0.0,0.0,0.484667,0.568,3.107444,3.452,0.0,0.0,0.0,0.0,0.0,77.693333,5.096667,8.077778,196.0,-0.008221,0.0,-0.008221,0.0,-0.005417,0.0,-0.002223,0.0,0.014487,0.0,0.490468,0.990162,-0.499694,14.777778,2.758602,0.850762,2.0,0.990162,1.432512,0.008727750214765706,0
631,6,9169,58,162,14,14,29.788508,33.502233,3.713726,1,1,0,9,0,-0.332842,2.415183,10.352217,large_dark,196,1.0,1.0,19.2,5.92,18.65,74.29,0.474,0.0,4.402,0.0,0.0,0.0,0,0,0.0,0.0,0.0,46.631,2.607,0.0,0.0,9.0,9.0,1.0,0.0,4.171444,0.102956,45.500889,1.0,0.0,0.0,0.405667,0.474,2.365667,2.607,0.0,0.0,0.0,0.0,0.0,77.772222,4.014444,4.493333,196.0,0.151161,0.111111,0.151161,0.111111,0.289131,0.111111,0.081154,0.111111,0.015524,0.111111,1.05319,2.185457,-1.132267,14.777778,2.758602,2.027357,4.123106,2.185457,3.399651,0.00030218158350985307,0
631,7,8632,34,94,14,14,31.284249,23.150016,-8.134233,1,1,0,9,0,1.347263,-0.0,2.549015,large_dark,196,1.0,1.0,4.88,15.57,0.01,66.57,0.687,0.0,4.315,0.0,0.0,0.0,0,0,0.0,0.0,0.0,47.024,14.786,0.0,0.0,9.0,9.0,1.0,0.0,4.278667,0.080965,47.119556,1.0,0.0,0.0,0.856111,1.043,12.453333,15.897,0.0,0.0,0.0,0.0,0.0,62.59,2.965556,15.186667,196.0,-0.021667,0.0,-0.021667,0.0,-0.025491,0.0,-0.00713,0.0,-0.008079,0.0,0.333333,1.43703,-1.103697,14.777778,2.758602,1.333333,3.0,1.43703,2.014964,0.7750920092820547,0
631,8,8632,36,100,3,3,28.466275,20.601,-7.865274,1,1,0,9,0,0.122263,0.175,0.323753,appearance,9,1.0,1.0,4.22,46.33,52.1,91.45,1.158,0.67,2.394,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,9.0,9.0,1.0,0.0,4.065222,0.596249,41.894667,0.888889,0.111111,0.111111,0.908444,1.158,11.407111,15.897,0.0,0.0,0.0,0.0,0.0,65.354444,2.892222,18.604444,175.222222,-0.044099,0.0,-0.044099,0.0,-0.047923,0.0,-0.033631,0.0,0.026286,0.111111,0.72617,1.608271,-0.882101,14.777778,2.758602,1.286793,3.0,1.608271,2.545381,0.9646250511248061,0
631,9,8632,5,85,14,14,20.014937,20.277248,0.262311,1,1,0,8,0,1.073918,-0.191556,3.904994,large_dark,196,1.0,1.0,1.93,15.87,12.95,60.77,1.129,0.0,3.991,0.0,0.0,0.0,0,0,0.0,0.0,0.0,43.191,1.773,0.0,0.0,8.0,9.0,0.888889,0.111111,3.995125,0.141762,42.07325,1.0,0.0,0.0,1.11125,1.146,4.934375,7.809,0.0,0.0,0.0,0.0,0.0,60.37,11.115,16.2575,196.0,0.019501,0.111111,0.019501,0.111111,0.037918,0.111111,0.050785,0.222222,0.288488,0.333333,2.147109,2.140026,0.007083,14.777778,2.758602,1.704068,5.0,2.140026,3.287534,0.07964909810879806,0
631,10,8632,2,85,14,14,16.49697,16.372254,-0.124716,1,1,0,7,1,0.036797,-0.294701,3.873302,large_dark,196,1.0,1.0,0.0,16.33,14.02,61.01,1.135,0.0,3.91,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42.195,7.809,0.0,0.0,7.0,9.0,0.777778,0.222222,3.995714,0.15154,41.913571,1.0,0.0,0.0,1.108714,1.146,5.386,7.809,0.0,0.0,0.0,0.0,0.0,60.312857,12.427143,16.312857,196.0,0.008285,0.111111,0.008285,0.111111,0.03078,0.111111,0.050785,0.222222,0.290722,0.333333,2.035997,1.809156,0.226841,14.777778,2.758602,1.403733,5.0,1.809156,3.287534,0.07166825842722492,0
631,11,6609,58,142,14,14,9.190393,12.498951,3.308558,1,1,0,9,0,-0.786182,4.323961,2.049308,large_dark,196,1.0,1.0,13.71,1.61,25.36,78.78,0.406,0.0,3.565,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37.027,2.841,0.0,0.0,9.0,9.0,1.0,0.0,5.002222,0.726208,55.946667,1.0,0.0,0.0,0.454778,0.524,2.970778,3.393,0.0,0.0,0.0,0.0,0.0,77.913333,5.513333,6.43,196.0,-0.028869,0.0,-0.028869,0.0,0.00274,0.0,-0.000144,0.0,-0.070294,0.111111,2.38463,2.947472,-0.562842,14.777778,2.758602,2.67267,15.811388,2.947472,15.628249,4.675389624032909e-06,0
