selector,frames,strict_hit,strict_recall,loose_hit,loose_recall,max_jump_px,transition_weight
viterbi_jump8_w0.05,68,68,1.0,68,1.0,8.0,0.05
viterbi_jump8_w0.1,68,68,1.0,68,1.0,8.0,0.1
viterbi_jump10_w0.1,68,68,1.0,68,1.0,10.0,0.1
viterbi_jump12_w0.2,68,68,1.0,68,1.0,12.0,0.2
viterbi_jump16_w0.35,68,68,1.0,68,1.0,16.0,0.35
viterbi_jump20_w0.35,68,68,1.0,68,1.0,20.0,0.35
viterbi_jump20_w0.5,68,68,1.0,68,1.0,20.0,0.5
viterbi_jump20_w0.75,68,68,1.0,68,1.0,20.0,0.75
viterbi_jump24_w0.5,68,68,1.0,68,1.0,24.0,0.5
viterbi_jump24_w0.75,68,68,1.0,68,1.0,24.0,0.75
viterbi_jump24_w1,68,68,1.0,68,1.0,24.0,1.0
viterbi_jump32_w1,68,68,1.0,68,1.0,32.0,1.0
viterbi_jump32_w1.5,68,68,1.0,68,1.0,32.0,1.5
viterbi_jump10_w0.05,68,67,0.9853,68,1.0,10.0,0.05
viterbi_jump12_w0.05,68,67,0.9853,68,1.0,12.0,0.05
viterbi_jump12_w0.1,68,67,0.9853,68,1.0,12.0,0.1
viterbi_jump16_w0.05,68,67,0.9853,68,1.0,16.0,0.05
viterbi_jump16_w0.1,68,67,0.9853,68,1.0,16.0,0.1
viterbi_jump16_w0.2,68,67,0.9853,68,1.0,16.0,0.2
viterbi_jump20_w0.05,68,67,0.9853,68,1.0,20.0,0.05
viterbi_jump20_w0.1,68,67,0.9853,68,1.0,20.0,0.1
viterbi_jump20_w0.2,68,67,0.9853,68,1.0,20.0,0.2
viterbi_jump24_w0.05,68,67,0.9853,68,1.0,24.0,0.05
viterbi_jump24_w0.1,68,67,0.9853,68,1.0,24.0,0.1
viterbi_jump24_w0.2,68,67,0.9853,68,1.0,24.0,0.2
viterbi_jump24_w0.35,68,67,0.9853,68,1.0,24.0,0.35
viterbi_jump32_w0.05,68,67,0.9853,68,1.0,32.0,0.05
viterbi_jump32_w0.1,68,67,0.9853,68,1.0,32.0,0.1
viterbi_jump32_w0.2,68,67,0.9853,68,1.0,32.0,0.2
viterbi_jump32_w0.35,68,67,0.9853,68,1.0,32.0,0.35
viterbi_jump32_w0.5,68,67,0.9853,68,1.0,32.0,0.5
viterbi_jump32_w0.75,68,67,0.9853,68,1.0,32.0,0.75
framewise_learned,68,64,0.9412,66,0.9706,,
viterbi_jump8_w0.2,68,63,0.9265,68,1.0,8.0,0.2
viterbi_jump8_w0.35,68,63,0.9265,68,1.0,8.0,0.35
viterbi_jump8_w0.5,68,63,0.9265,68,1.0,8.0,0.5
viterbi_jump8_w0.75,68,63,0.9265,68,1.0,8.0,0.75
viterbi_jump8_w1,68,63,0.9265,68,1.0,8.0,1.0
viterbi_jump10_w0.2,68,63,0.9265,68,1.0,10.0,0.2
viterbi_jump10_w0.35,68,63,0.9265,68,1.0,10.0,0.35
viterbi_jump10_w0.5,68,63,0.9265,68,1.0,10.0,0.5
viterbi_jump10_w0.75,68,63,0.9265,68,1.0,10.0,0.75
viterbi_jump10_w1,68,63,0.9265,68,1.0,10.0,1.0
viterbi_jump10_w1.5,68,63,0.9265,68,1.0,10.0,1.5
viterbi_jump12_w0.35,68,63,0.9265,68,1.0,12.0,0.35
viterbi_jump12_w0.5,68,63,0.9265,68,1.0,12.0,0.5
viterbi_jump12_w0.75,68,63,0.9265,68,1.0,12.0,0.75
viterbi_jump12_w1,68,63,0.9265,68,1.0,12.0,1.0
viterbi_jump12_w1.5,68,63,0.9265,68,1.0,12.0,1.5
viterbi_jump16_w0.5,68,63,0.9265,68,1.0,16.0,0.5
viterbi_jump16_w0.75,68,63,0.9265,68,1.0,16.0,0.75
viterbi_jump16_w1,68,63,0.9265,68,1.0,16.0,1.0
viterbi_jump16_w1.5,68,63,0.9265,68,1.0,16.0,1.5
viterbi_jump20_w1,68,63,0.9265,68,1.0,20.0,1.0
viterbi_jump20_w1.5,68,63,0.9265,68,1.0,20.0,1.5
viterbi_jump24_w1.5,68,63,0.9265,68,1.0,24.0,1.5
viterbi_jump8_w1.5,68,57,0.8382,68,1.0,8.0,1.5
