clip,frame,source,orig_x,orig_y,orig_w,orig_h,orig_cx,orig_cy,x,y,w,h,confidence,notes,track_id,rank,verified_score,det_x,det_y,det_w,det_h,visible,router_state,close_sky_like,close_texture,close_mean,close_std,close_grad,far_sky_like,far_texture,far_mean,far_std,far_grad,vision_review_status,vision_review_reason,surface_training_weight
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,631,vision_verified_next_batch_v1,134.0,172.0,24.0,24.0,146.0,184.0,67.0,86.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,1.0,25.807007,67.0,86.0,12.0,12.0,1,surface_backed,0.0,38.107,175.192,40.071,35.707,0.0,46.512,131.539,53.098,38.462,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,632,vision_verified_next_batch_v1,136.0,172.0,24.0,24.0,148.0,184.0,68.0,86.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,1.0,32.314145,68.0,86.0,12.0,12.0,1,surface_backed,0.0,38.708,174.935,40.637,36.352,0.0,46.896,131.475,53.69,38.593,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,633,vision_verified_next_batch_v1,138.0,172.0,24.0,24.0,150.0,184.0,69.0,86.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,2.0,25.892982,69.0,86.0,12.0,12.0,1,surface_backed,0.0,38.41,175.221,40.278,36.128,0.0,46.918,131.276,53.642,38.699,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,634,vision_verified_next_batch_v1,132.0,174.0,24.0,24.0,144.0,186.0,66.0,87.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,1.0,33.252841,66.0,87.0,12.0,12.0,1,surface_backed,0.0,40.758,172.545,43.1,37.896,0.0,47.517,131.853,54.684,38.758,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,635,vision_verified_next_batch_v1,124.0,194.0,6.0,6.0,127.0,197.0,62.0,97.0,3.0,3.0,medium_high,vision accepted range 622-649; target_e271_late,,2.0,22.603198,62.0,97.0,3.0,3.0,1,surface_backed,0.0,63.352,181.667,46.067,84.479,0.0,48.477,173.87,44.941,52.797,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,636,vision_verified_next_batch_v1,132.0,174.0,24.0,24.0,144.0,186.0,66.0,87.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,2.0,27.859287,66.0,87.0,12.0,12.0,1,surface_backed,0.0,41.504,171.976,44.044,38.399,0.0,47.926,131.751,55.581,38.57,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,637,vision_verified_next_batch_v1,130.0,174.0,24.0,24.0,142.0,186.0,65.0,87.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,1.0,31.691535,65.0,87.0,12.0,12.0,1,surface_backed,0.0,42.588,170.628,45.282,39.295,0.0,48.667,131.978,56.395,39.222,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,638,vision_verified_next_batch_v1,130.0,174.0,24.0,24.0,142.0,186.0,65.0,87.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,2.0,26.169305,65.0,87.0,12.0,12.0,1,surface_backed,0.0,42.644,170.599,45.332,39.358,0.0,48.879,131.93,56.449,39.627,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,639,vision_verified_next_batch_v1,124.0,178.0,24.0,24.0,136.0,190.0,62.0,89.0,12.0,12.0,medium_high,vision accepted range 622-649; target_e271_late,,1.0,31.078908,62.0,89.0,12.0,12.0,1,surface_backed,0.0,46.016,166.359,48.803,42.609,0.0,49.263,132.868,57.68,38.975,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,640,vision_verified_next_batch_v1,120.0,194.0,6.0,6.0,123.0,197.0,60.0,97.0,3.0,3.0,medium_high,vision accepted range 622-649; target_e271_late,,2.0,22.602422,60.0,97.0,3.0,3.0,1,surface_backed,0.0,73.831,170.233,50.626,102.193,0.0,51.22,166.288,49.277,53.593,accepted_surface,vision checked contact sheet/crops; terrain/road/grass-backed visible target continuity segment,1.0
