clip,frame,source,orig_x,orig_y,orig_w,orig_h,orig_cx,orig_cy,x,y,w,h,confidence,notes,track_id,rank,verified_score,det_x,det_y,det_w,det_h,visible,router_state,close_sky_like,close_texture,close_mean,close_std,close_grad,far_sky_like,far_texture,far_mean,far_std,far_grad,vision_review_status,vision_review_reason,surface_training_weight
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,vision_dense_recovery,376.9,215.14,23.74,23.2,388.77,226.74,188.45,107.57,11.87,11.6,medium_high,target_1c_back_extrapolated_visible,,,,188.45,107.57,11.87,11.6,1,surface_backed,0.0,49.989,103.966,69.889,25.667,0.0,48.39,95.878,64.787,28.348,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,26,vision_dense_recovery,376.24,212.44,23.74,23.22,388.11,224.05,188.12,106.22,11.87,11.61,medium_high,target_1c_back_extrapolated_visible,,,,188.12,106.22,11.87,11.61,1,surface_backed,0.0,49.629,109.255,69.489,25.356,0.0,48.108,97.705,64.996,27.467,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,27,vision_dense_recovery,375.56,209.74,23.74,23.22,387.43,221.35,187.78,104.87,11.87,11.61,medium_high,target_1c_back_extrapolated_visible,,,,187.78,104.87,11.87,11.61,1,surface_backed,0.0,49.078,111.772,68.79,24.985,0.0,47.973,98.506,64.871,27.321,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,28,vision_dense_recovery,374.9,207.06,23.74,23.24,386.77,218.68,187.45,103.53,11.87,11.62,medium_high,target_1c_back_extrapolated_visible,,,,187.45,103.53,11.87,11.62,1,surface_backed,0.0,48.097,115.327,67.901,23.893,0.0,47.709,99.603,64.881,26.721,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,29,vision_dense_recovery,374.22,204.36,23.76,23.26,386.1,215.99,187.11,102.18,11.88,11.63,medium_high,target_1c_back_extrapolated_visible,,,,187.11,102.18,11.88,11.63,1,surface_backed,0.0,47.425,117.912,67.027,23.468,0.0,47.565,100.383,64.758,26.552,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,30,map,374.0,202.0,24.0,24.0,386.0,214.0,187.0,101.0,12.0,12.0,high,target_1c_measured_anchor,,,,187.0,101.0,12.0,12.0,1,surface_backed,0.0,47.236,121.791,66.352,23.873,0.0,47.853,101.621,64.899,27.018,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,31,map,374.0,198.0,24.0,24.0,386.0,210.0,187.0,99.0,12.0,12.0,high,target_1c_measured_anchor,,,,187.0,99.0,12.0,12.0,1,surface_backed,0.0,45.967,127.51,63.767,24.21,0.0,47.689,103.446,64.822,26.749,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,32,map,372.0,194.0,24.0,24.0,384.0,206.0,186.0,97.0,12.0,12.0,high,target_1c_measured_anchor,,,,186.0,97.0,12.0,12.0,1,surface_backed,0.0,44.969,132.673,61.506,24.758,0.0,47.698,104.798,64.817,26.776,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,33,map,372.0,192.0,24.0,24.0,384.0,204.0,186.0,96.0,12.0,12.0,high,target_1c_measured_anchor,,,,186.0,96.0,12.0,12.0,1,surface_backed,0.0,43.8,138.112,59.348,24.797,0.0,48.046,106.54,65.011,27.311,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
1c1258a1-d0f6-433e-9466-dbc1705fa263,34,map,370.0,188.0,24.0,24.0,382.0,200.0,185.0,94.0,12.0,12.0,high,target_1c_measured_anchor,,,,185.0,94.0,12.0,12.0,1,surface_backed,0.0,41.865,142.925,55.876,24.741,0.0,47.961,107.878,64.886,27.274,rejected_for_surface_training,"visually checked representative contact sheets; mostly skyline/near-horizon, not true tree/grass/terrain-backed training",
