model,frames,oracle_recall,strict_hit,strict_recall,loose_hit,loose_recall,high_frames,high_strict_recall,high_loose_recall,fallback_model,fallback_threshold,used_learned_frames,used_learned_rate
fallback_logistic_thr0.00,1030,0.9951,810,0.7864,896,0.8699,835,0.8012,0.8754,logistic,0.0,1030,1.0
fallback_logistic_thr0.02,1030,0.9951,810,0.7864,896,0.8699,835,0.8012,0.8754,logistic,0.02,1030,1.0
fallback_logistic_thr0.04,1030,0.9951,810,0.7864,896,0.8699,835,0.8012,0.8754,logistic,0.04,1029,0.999
fallback_logistic_thr0.06,1030,0.9951,810,0.7864,896,0.8699,835,0.8012,0.8754,logistic,0.06,1029,0.999
fallback_logistic_thr0.08,1030,0.9951,809,0.7854,895,0.8689,835,0.8,0.8743,logistic,0.08,1027,0.9971
fallback_logistic_thr0.10,1030,0.9951,808,0.7845,894,0.868,835,0.8,0.8743,logistic,0.1,1026,0.9961
fallback_logistic_thr0.12,1030,0.9951,809,0.7854,895,0.8689,835,0.8012,0.8754,logistic,0.12,1025,0.9951
fallback_logistic_thr0.14,1030,0.9951,811,0.7874,897,0.8709,835,0.8036,0.8778,logistic,0.14,1023,0.9932
fallback_logistic_thr0.16,1030,0.9951,811,0.7874,896,0.8699,835,0.8036,0.8778,logistic,0.16,1020,0.9903
fallback_logistic_thr0.18,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.18,1018,0.9883
fallback_logistic_thr0.20,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.2,1018,0.9883
fallback_logistic_thr0.22,1030,0.9951,811,0.7874,896,0.8699,835,0.8036,0.8778,logistic,0.22,1017,0.9874
fallback_logistic_thr0.24,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.24,1015,0.9854
fallback_logistic_thr0.26,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.26,1013,0.9835
fallback_logistic_thr0.28,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.28,1013,0.9835
fallback_logistic_thr0.30,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.3,1011,0.9816
fallback_logistic_thr0.32,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.32,1010,0.9806
fallback_logistic_thr0.34,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.34,1008,0.9786
fallback_logistic_thr0.36,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.36,1008,0.9786
fallback_logistic_thr0.38,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.38,1007,0.9777
fallback_logistic_thr0.40,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.4,1006,0.9767
fallback_logistic_thr0.42,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.42,1005,0.9757
fallback_logistic_thr0.44,1030,0.9951,809,0.7854,894,0.868,835,0.8012,0.8754,logistic,0.44,1003,0.9738
fallback_logistic_thr0.46,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.46,1002,0.9728
fallback_logistic_thr0.48,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.48,1002,0.9728
fallback_logistic_thr0.50,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.5,1002,0.9728
fallback_logistic_thr0.52,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.52,1001,0.9718
fallback_logistic_thr0.54,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.54,999,0.9699
fallback_logistic_thr0.56,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.56,998,0.9689
fallback_logistic_thr0.58,1030,0.9951,810,0.7864,895,0.8689,835,0.8024,0.8766,logistic,0.58,998,0.9689
