clip,frame,y,dist_px,rank,source,confidence
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,103.13,1,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,1,0.406,2,appearance,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,1,3.709,4,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,1,4.63,5,motion,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,128.857,6,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,119.19,7,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,124.963,8,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,69.434,9,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,81.636,10,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,107.867,11,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,78.409,12,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,89.212,13,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,100.509,14,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,90.171,15,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,73.121,16,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,146.778,17,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,106.931,18,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,61.132,19,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,53.569,20,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,107.427,21,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,56.833,22,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,115.607,23,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,133.887,24,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,136.342,25,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,86.779,26,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,114.62,27,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,73.605,28,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,81.294,29,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,125.884,30,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,130.681,31,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,114.296,32,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,108.724,33,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,101.556,34,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,73.417,35,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,112.963,36,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,122.507,37,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,116.487,38,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,112.961,39,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,162.796,40,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,118.801,41,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,102.728,42,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,170.688,43,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,187.758,44,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,177.341,45,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,126.276,46,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,124.549,47,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,174.041,48,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,117.332,49,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,124.061,50,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,89.036,51,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,115.56,52,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,139.877,53,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,116.379,54,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,111.412,55,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,94.981,56,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,90.413,57,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,111.245,58,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,174.555,59,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,135.543,60,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,87.142,61,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,102.175,62,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,129.575,63,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,96.191,64,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,124.513,65,map,medium_high
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,0,163.422,66,map,medium_high
