clip,frame,det_x,det_y,det_w,det_h,visible,confidence,bg_split,source,oracle_hit,strict_hit,selected_dist_px,oracle_rank,oracle_source,vision_confidence,review_rank,notes
1c1258a1-d0f6-433e-9466-dbc1705fa263,25,188.45,107.57,11.87,11.6,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,False,103.13,2,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,26,188.12,106.22,11.87,11.61,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,1.471,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,27,187.78,104.87,11.87,11.61,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,2.798,2,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,28,187.45,103.53,11.87,11.62,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,0.514,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,29,187.11,102.18,11.88,11.63,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,3.567,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,30,187.0,101.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.354,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,31,187.0,99.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,32,186.0,97.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,4.61,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,33,186.0,96.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.808,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,34,185.0,94.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,5.701,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,35,186.0,94.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.354,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,36,185.0,92.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,37,184.0,90.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,4.95,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,38,186.0,91.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,39,187.0,95.0,10.0,6.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,40,182.0,89.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,41,181.0,87.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,42,180.0,85.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.202,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,43,180.0,84.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,44,179.0,82.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,4.031,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,45,180.0,81.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,46,184.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,4.743,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,47,185.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,6.519,3,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,48,180.0,77.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,49,180.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.041,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,50,182.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,51,182.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,52,182.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.162,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,53,179.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,54,178.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.606,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,55,180.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,56,179.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,57,179.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,58,176.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,4.95,3,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,59,175.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,6.364,3,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,60,173.0,72.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.536,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,61,168.0,71.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,62,168.0,71.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,63,166.0,71.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,64,166.0,71.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,65,165.0,72.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,66,161.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,67,162.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,68,162.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,69,163.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,70,160.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,6.964,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,71,157.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,72,155.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,73,155.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,74,151.0,81.0,3.0,3.0,1,high,textured_non_sky,surface_audit_seed_v2,True,False,10.77,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,75,154.0,72.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,76,154.0,69.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,77,153.0,68.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.0,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,78,151.0,70.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,79,155.0,70.0,6.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,80,150.0,69.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,81,148.0,70.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,82,142.0,79.0,3.0,3.0,1,high,textured_non_sky,surface_audit_seed_v2,True,False,11.705,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,83,145.0,71.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,84,143.0,71.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.0,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,85,143.0,70.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,86,140.0,69.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,87,134.0,79.0,3.0,3.0,1,high,textured_non_sky,surface_audit_seed_v2,True,False,11.63,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,88,136.0,69.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,89,134.0,69.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.536,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,90,134.0,68.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,91,132.0,68.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,92,130.0,68.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,93,128.0,68.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,94,124.0,77.0,3.0,3.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,95,126.0,76.0,3.0,3.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,96,126.5,75.95,3.41,3.41,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,2.709,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,97,127.0,75.91,3.82,3.82,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,False,183.398,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,98,127.5,75.86,4.23,4.23,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,3.038,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,99,128.0,75.82,4.64,4.64,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,1.834,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,100,128.5,75.77,5.05,5.05,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,3.797,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,101,129.0,75.73,5.45,5.45,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,5.325,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,102,129.5,75.68,5.86,5.86,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,6.94,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,103,130.0,75.64,6.27,6.27,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,False,9.662,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,104,130.5,75.59,6.68,6.68,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,5.678,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,105,131.0,75.55,7.09,7.09,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,False,9.054,2,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,106,131.5,75.5,7.5,7.5,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,5.534,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,107,132.0,75.45,7.91,7.91,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,5.508,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,108,132.5,75.41,8.32,8.32,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,4.295,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,109,133.0,75.36,8.73,8.73,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,1.838,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,110,133.5,75.32,9.14,9.14,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,4.487,4,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,111,134.0,75.27,9.55,9.55,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,3.814,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,112,134.5,75.23,9.95,9.95,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,4.485,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,113,135.0,75.18,10.36,10.36,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,2.569,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,114,135.5,75.14,10.77,10.77,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,2.442,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,115,136.0,75.09,11.18,11.18,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,1.729,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,116,136.5,75.05,11.59,11.59,1,medium_high,textured_non_sky,surface_audit_seed_v2,True,True,2.321,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,117,137.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,118,136.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,119,141.0,79.0,3.0,5.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,120,137.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,121,138.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.118,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,122,139.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,123,139.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,124,137.0,77.0,3.0,3.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,6.265,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,125,138.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,126,138.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.5,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,127,140.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,128,140.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,129,140.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.5,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,130,143.0,77.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,131,147.0,80.0,3.0,5.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,appearance,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,132,146.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,133,148.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,134,150.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,2.5,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,135,149.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,136,150.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.118,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,137,152.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,138,153.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,139,154.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.581,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,140,153.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,141,154.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.707,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,142,156.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,143,157.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,144,158.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.581,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,145,157.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,146,158.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,2.55,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,147,158.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,148,160.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,149,161.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.581,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,150,160.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,151,161.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.581,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,152,159.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,153,162.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.808,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,154,163.0,76.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,3.041,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,155,161.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,156,162.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.581,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,157,161.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,158,162.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,159,163.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.581,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,160,163.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,161,164.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,162,164.0,74.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,163,165.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,164,166.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,1.581,2,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,165,166.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,166,167.0,73.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,167,167.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,168,168.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,0.0,1,map,,,
1c1258a1-d0f6-433e-9466-dbc1705fa263,169,169.0,75.0,12.0,12.0,1,high,textured_non_sky,surface_audit_seed_v2,True,True,2.121,2,map,,,
