clip,frame,checkpoint_label,rank,bbox,verified_score,raw_score,tube_verifier_score,candidate_source,notes,overview_image,crop_sheet,human_label,human_notes
529a6584-8974-4cf9-b7f7-f66d49cd3845,123,active_mine_high_score,1,"[105, 100, 12, 12]",47.64096,44.908484,2.732477,map,learned_score=0.952; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,123,active_mine_high_score,2,"[95, 101, 12, 12]",35.509431,32.797889,2.711542,map,learned_score=0.952; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,123,active_mine_high_score,4,"[32, 111, 12, 12]",19.821008,16.936847,2.884161,map,learned_score=0.952; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,123,active_mine_high_score,5,"[189, 77, 12, 12]",16.521952,13.070918,3.451034,map,learned_score=0.952; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,123,active_mine_high_score,6,"[194, 82, 3, 4]",14.015032,11.084605,2.930426,appearance,learned_score=0.952; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,123,active_mine_high_score,7,"[35, 117, 5, 17]",10.923745,8.300571,2.623175,motion,learned_score=0.952; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00123_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,98,active_mine_high_score,1,"[125, 96, 12, 12]",44.038275,41.286592,2.751682,map,learned_score=0.951; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,98,active_mine_high_score,2,"[130, 104, 3, 3]",37.386216,34.488979,2.897237,map,learned_score=0.951; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,98,active_mine_high_score,3,"[122, 104, 7, 7]",34.509246,31.818112,2.691134,map,learned_score=0.951; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_crops.jpg,,
529a6584-8974-4cf9-b7f7-f66d49cd3845,98,active_mine_high_score,4,"[132, 102, 5, 5]",34.181639,31.632747,2.548892,map,learned_score=0.951; selected_rank=1; source=map; label whether this high-score candidate is target or clutter,results/tube_hard_negative_review_packet_thr060_top8/overviews/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_overview.jpg,results/tube_hard_negative_review_packet_thr060_top8/crops/529a6584-8974-4cf9-b7f7-f66d49cd3845_f00098_crops.jpg,,
